title,artist,date,word,language
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,what,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,너는,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,내게,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,뭐든,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,줄,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,것처럼,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,말을,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,건넸다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,건넸다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,dont,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,what,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,너는,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,마치,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,무슨,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,약을,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,먹은,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,마냥,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,변했다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,드리워진,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,blue,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,내,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,흐려지는,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,눈,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,진짜,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,is,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,this,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,true,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,후회,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,안,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,하냐고,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,내,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,어제의,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,my,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,boo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,boo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,boo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,lonely,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,life,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,좋아,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,삼켜버린,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,물,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,난,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,식어버린,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,듯,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,i,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,want,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,to,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,be,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,ruined,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,붙잡지,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,않아,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,끝,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,넌,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,어제의,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,my,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,boo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,boo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,boo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,lonely,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,life,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,잘,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,가,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,차갑게,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,나를,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,본다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,남인,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,듯,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,돌아선다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,난,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,멍하니,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,서있다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,몰랐던,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,너를,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,봤다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,그저,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,웃음만,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,나온다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,난,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,이제,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,너를,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,몰라,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,hann,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,널,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,잊으리라,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,woo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,woo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,woo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,저리,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,가,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,오지,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,마,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,돌아보지도,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,말아,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,널,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,지우리라,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,woo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,woo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,woo,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,저리,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,가,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,오지,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,마,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,돌아보지도,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,말아,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,do,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,what,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,나는,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,어떤,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,말도,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,못,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,해본,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,채,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,너를,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,보냈다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,보냈다,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,dont,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,remember,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,what,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,you,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,said,en
HANN (한 (一)) ,(G)I-DLE,2018-08-14,나는,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,마치,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,무슨,ko
HANN (한 (一)) ,(G)I-DLE,2018-08-14,약을,ko
