title,artist,date,word,language
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,yeah,en
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,차디찬,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,한겨울이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,덮친,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,듯,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,yeah,en
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,시간은,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,다,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,얼어버리고,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,잔인한,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,그,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,바람이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,남긴,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,듯한,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,어둠은,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,더,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,깊어,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,버리고,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,벗어나리오,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,끝없이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,펼쳐진,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,기약,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,없는,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,계절을,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,지워내리오,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,뜨겁지,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,못한,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,날들에,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,홀로,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,데인,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,흉터를,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,큰불을,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,내리오,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,내,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,안에,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,눈물이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,더는,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,못,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,살게,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,난,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,화를,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,내리오,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,더,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,화를,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,내리오,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,잃었던,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,봄을,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,되찾게,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,차갑게,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,부는,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,바람이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,눈이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,하얗게,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,덮인,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,마음이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,아침이,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,오면,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,부디,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,모두,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,녹을,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,수,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,있게,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,woo,en
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,불을,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,지펴라,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,화,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,火,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,타올라,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,타올라,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,화,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,火,ko
HWAA (화) (火花) ,(G)I-DLE,2021-01-11,꽃피우리라,ko
