title,artist,date,word,language
LATATA ,(G)I-DLE,2018-05-02,너와,ko
LATATA ,(G)I-DLE,2018-05-02,이,ko
LATATA ,(G)I-DLE,2018-05-02,밤을,ko
LATATA ,(G)I-DLE,2018-05-02,너와,ko
LATATA ,(G)I-DLE,2018-05-02,이렇게,ko
LATATA ,(G)I-DLE,2018-05-02,너와,ko
LATATA ,(G)I-DLE,2018-05-02,기다린,ko
LATATA ,(G)I-DLE,2018-05-02,너와,ko
LATATA ,(G)I-DLE,2018-05-02,시간을,ko
LATATA ,(G)I-DLE,2018-05-02,너와,ko
LATATA ,(G)I-DLE,2018-05-02,이렇게,ko
LATATA ,(G)I-DLE,2018-05-02,너와,ko
LATATA ,(G)I-DLE,2018-05-02,어둠,ko
LATATA ,(G)I-DLE,2018-05-02,속,ko
LATATA ,(G)I-DLE,2018-05-02,red,en
LATATA ,(G)I-DLE,2018-05-02,light,en
LATATA ,(G)I-DLE,2018-05-02,시선은,ko
LATATA ,(G)I-DLE,2018-05-02,left,en
LATATA ,(G)I-DLE,2018-05-02,right,en
LATATA ,(G)I-DLE,2018-05-02,불,ko
LATATA ,(G)I-DLE,2018-05-02,위를,ko
LATATA ,(G)I-DLE,2018-05-02,걷나,ko
LATATA ,(G)I-DLE,2018-05-02,시작의,ko
LATATA ,(G)I-DLE,2018-05-02,점화,ko
LATATA ,(G)I-DLE,2018-05-02,가까이,ko
LATATA ,(G)I-DLE,2018-05-02,온다,ko
LATATA ,(G)I-DLE,2018-05-02,누가,ko
LATATA ,(G)I-DLE,2018-05-02,뭐,en
LATATA ,(G)I-DLE,2018-05-02,겁나,ko
LATATA ,(G)I-DLE,2018-05-02,uh,en
LATATA ,(G)I-DLE,2018-05-02,oh,en
LATATA ,(G)I-DLE,2018-05-02,어디까지,ko
LATATA ,(G)I-DLE,2018-05-02,더,ko
LATATA ,(G)I-DLE,2018-05-02,깊이,ko
LATATA ,(G)I-DLE,2018-05-02,빠져들지,ko
LATATA ,(G)I-DLE,2018-05-02,중독된,ko
LATATA ,(G)I-DLE,2018-05-02,향기까지,ko
LATATA ,(G)I-DLE,2018-05-02,그렇게,ko
LATATA ,(G)I-DLE,2018-05-02,뒤섞여버리지,ko
LATATA ,(G)I-DLE,2018-05-02,민유,ko
LATATA ,(G)I-DLE,2018-05-02,그래,ko
LATATA ,(G)I-DLE,2018-05-02,더,ko
LATATA ,(G)I-DLE,2018-05-02,더,ko
LATATA ,(G)I-DLE,2018-05-02,불태워,ko
LATATA ,(G)I-DLE,2018-05-02,버려지게,ko
LATATA ,(G)I-DLE,2018-05-02,내일은,ko
LATATA ,(G)I-DLE,2018-05-02,우린,ko
LATATA ,(G)I-DLE,2018-05-02,없는,ko
LATATA ,(G)I-DLE,2018-05-02,거야,ko
LATATA ,(G)I-DLE,2018-05-02,너,ko
LATATA ,(G)I-DLE,2018-05-02,i,en
LATATA ,(G)I-DLE,2018-05-02,love,en
LATATA ,(G)I-DLE,2018-05-02,ya,en
LATATA ,(G)I-DLE,2018-05-02,널,ko
LATATA ,(G)I-DLE,2018-05-02,위한,ko
LATATA ,(G)I-DLE,2018-05-02,노랠,ko
LATATA ,(G)I-DLE,2018-05-02,해,ko
LATATA ,(G)I-DLE,2018-05-02,깊게,ko
LATATA ,(G)I-DLE,2018-05-02,더,ko
LATATA ,(G)I-DLE,2018-05-02,빠지게,ko
LATATA ,(G)I-DLE,2018-05-02,lata,en
LATATA ,(G)I-DLE,2018-05-02,i,en
LATATA ,(G)I-DLE,2018-05-02,love,en
LATATA ,(G)I-DLE,2018-05-02,ya,en
LATATA ,(G)I-DLE,2018-05-02,널,ko
LATATA ,(G)I-DLE,2018-05-02,위한,ko
LATATA ,(G)I-DLE,2018-05-02,춤을,ko
LATATA ,(G)I-DLE,2018-05-02,춰,ko
LATATA ,(G)I-DLE,2018-05-02,내게,ko
LATATA ,(G)I-DLE,2018-05-02,널,ko
LATATA ,(G)I-DLE,2018-05-02,갇히게,ko
LATATA ,(G)I-DLE,2018-05-02,lata,en
LATATA ,(G)I-DLE,2018-05-02,i,en
LATATA ,(G)I-DLE,2018-05-02,love,en
LATATA ,(G)I-DLE,2018-05-02,ya,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,latata,en
LATATA ,(G)I-DLE,2018-05-02,날,ko
