title,artist,date,word,language
Oh my god ,(G)I-DLE,2020-04-06,하늘에,ko
Oh my god ,(G)I-DLE,2020-04-06,시선을,ko
Oh my god ,(G)I-DLE,2020-04-06,가린,ko
Oh my god ,(G)I-DLE,2020-04-06,채,en
Oh my god ,(G)I-DLE,2020-04-06,네,ko
Oh my god ,(G)I-DLE,2020-04-06,품,en
Oh my god ,(G)I-DLE,2020-04-06,안에,ko
Oh my god ,(G)I-DLE,2020-04-06,안기네,ko
Oh my god ,(G)I-DLE,2020-04-06,흐르는,ko
Oh my god ,(G)I-DLE,2020-04-06,음악에,ko
Oh my god ,(G)I-DLE,2020-04-06,정신을,ko
Oh my god ,(G)I-DLE,2020-04-06,뺏긴,ko
Oh my god ,(G)I-DLE,2020-04-06,채,en
Oh my god ,(G)I-DLE,2020-04-06,그대로,ko
Oh my god ,(G)I-DLE,2020-04-06,빨려,ko
Oh my god ,(G)I-DLE,2020-04-06,드네,ko
Oh my god ,(G)I-DLE,2020-04-06,help,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,help,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,숨이,ko
Oh my god ,(G)I-DLE,2020-04-06,멎을,ko
Oh my god ,(G)I-DLE,2020-04-06,것,ko
Oh my god ,(G)I-DLE,2020-04-06,같이,ko
Oh my god ,(G)I-DLE,2020-04-06,i,en
Oh my god ,(G)I-DLE,2020-04-06,feel,en
Oh my god ,(G)I-DLE,2020-04-06,set,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,free,en
Oh my god ,(G)I-DLE,2020-04-06,set,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,free,en
Oh my god ,(G)I-DLE,2020-04-06,녹아,ko
Oh my god ,(G)I-DLE,2020-04-06,버릴,ko
Oh my god ,(G)I-DLE,2020-04-06,것,ko
Oh my god ,(G)I-DLE,2020-04-06,같이,ko
Oh my god ,(G)I-DLE,2020-04-06,so,en
Oh my god ,(G)I-DLE,2020-04-06,sick,en
Oh my god ,(G)I-DLE,2020-04-06,쉴,ko
Oh my god ,(G)I-DLE,2020-04-06,틈,ko
Oh my god ,(G)I-DLE,2020-04-06,없이,ko
Oh my god ,(G)I-DLE,2020-04-06,빠져들고,ko
Oh my god ,(G)I-DLE,2020-04-06,이리저리,ko
Oh my god ,(G)I-DLE,2020-04-06,갖고,ko
Oh my god ,(G)I-DLE,2020-04-06,놀고,ko
Oh my god ,(G)I-DLE,2020-04-06,이성을,ko
Oh my god ,(G)I-DLE,2020-04-06,깨부시고,ko
Oh my god ,(G)I-DLE,2020-04-06,제멋대로,ko
Oh my god ,(G)I-DLE,2020-04-06,들어오지,ko
Oh my god ,(G)I-DLE,2020-04-06,위험하니,ko
Oh my god ,(G)I-DLE,2020-04-06,갖고,ko
Oh my god ,(G)I-DLE,2020-04-06,싶고,ko
Oh my god ,(G)I-DLE,2020-04-06,아픔까지,ko
Oh my god ,(G)I-DLE,2020-04-06,안고,ko
Oh my god ,(G)I-DLE,2020-04-06,싶고,ko
Oh my god ,(G)I-DLE,2020-04-06,결국,ko
Oh my god ,(G)I-DLE,2020-04-06,너를,ko
Oh my god ,(G)I-DLE,2020-04-06,품으니,ko
Oh my god ,(G)I-DLE,2020-04-06,난,ko
Oh my god ,(G)I-DLE,2020-04-06,oh,en
Oh my god ,(G)I-DLE,2020-04-06,my,en
Oh my god ,(G)I-DLE,2020-04-06,god,en
Oh my god ,(G)I-DLE,2020-04-06,she,en
Oh my god ,(G)I-DLE,2020-04-06,took,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,to,en
Oh my god ,(G)I-DLE,2020-04-06,the,en
Oh my god ,(G)I-DLE,2020-04-06,sky,en
Oh my god ,(G)I-DLE,2020-04-06,oh,en
Oh my god ,(G)I-DLE,2020-04-06,my,en
Oh my god ,(G)I-DLE,2020-04-06,god,en
Oh my god ,(G)I-DLE,2020-04-06,she,en
Oh my god ,(G)I-DLE,2020-04-06,showed,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,all,en
Oh my god ,(G)I-DLE,2020-04-06,the,en
Oh my god ,(G)I-DLE,2020-04-06,stars,en
Oh my god ,(G)I-DLE,2020-04-06,baby,en
Oh my god ,(G)I-DLE,2020-04-06,baby,en
Oh my god ,(G)I-DLE,2020-04-06,달려들,ko
Oh my god ,(G)I-DLE,2020-04-06,것만,ko
Oh my god ,(G)I-DLE,2020-04-06,같이,ko
Oh my god ,(G)I-DLE,2020-04-06,come,en
Oh my god ,(G)I-DLE,2020-04-06,in,en
Oh my god ,(G)I-DLE,2020-04-06,make,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,make,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,정신,ko
Oh my god ,(G)I-DLE,2020-04-06,나갈,ko
Oh my god ,(G)I-DLE,2020-04-06,것,ko
Oh my god ,(G)I-DLE,2020-04-06,같이,ko
Oh my god ,(G)I-DLE,2020-04-06,like,en
Oh my god ,(G)I-DLE,2020-04-06,it,en
Oh my god ,(G)I-DLE,2020-04-06,oh,en
Oh my god ,(G)I-DLE,2020-04-06,god,en
Oh my god ,(G)I-DLE,2020-04-06,어찌,ko
Oh my god ,(G)I-DLE,2020-04-06,저에게,ko
Oh my god ,(G)I-DLE,2020-04-06,이런,ko
Oh my god ,(G)I-DLE,2020-04-06,시험을,ko
Oh my god ,(G)I-DLE,2020-04-06,줬나요,ko
Oh my god ,(G)I-DLE,2020-04-06,is,en
Oh my god ,(G)I-DLE,2020-04-06,it,en
Oh my god ,(G)I-DLE,2020-04-06,a,en
Oh my god ,(G)I-DLE,2020-04-06,call,en
Oh my god ,(G)I-DLE,2020-04-06,from,en
Oh my god ,(G)I-DLE,2020-04-06,hell,en
Oh my god ,(G)I-DLE,2020-04-06,cant,en
Oh my god ,(G)I-DLE,2020-04-06,stop,en
Oh my god ,(G)I-DLE,2020-04-06,대체,ko
Oh my god ,(G)I-DLE,2020-04-06,어떻게,ko
Oh my god ,(G)I-DLE,2020-04-06,그녀를,ko
Oh my god ,(G)I-DLE,2020-04-06,빠져나갈까요,ko
Oh my god ,(G)I-DLE,2020-04-06,당신이,ko
Oh my god ,(G)I-DLE,2020-04-06,준,ko
Oh my god ,(G)I-DLE,2020-04-06,절제는,ko
Oh my god ,(G)I-DLE,2020-04-06,어두운,ko
Oh my god ,(G)I-DLE,2020-04-06,블랙홀,ko
Oh my god ,(G)I-DLE,2020-04-06,속,ko
Oh my god ,(G)I-DLE,2020-04-06,갈기갈기,ko
Oh my god ,(G)I-DLE,2020-04-06,찢겨져,ko
Oh my god ,(G)I-DLE,2020-04-06,혼이,ko
Oh my god ,(G)I-DLE,2020-04-06,나간,ko
Oh my god ,(G)I-DLE,2020-04-06,채로,ko
Oh my god ,(G)I-DLE,2020-04-06,그저,ko
Oh my god ,(G)I-DLE,2020-04-06,어리버리,ko
Oh my god ,(G)I-DLE,2020-04-06,통제가,ko
Oh my god ,(G)I-DLE,2020-04-06,불가능해,ko
Oh my god ,(G)I-DLE,2020-04-06,설탕,ko
Oh my god ,(G)I-DLE,2020-04-06,뿌린,ko
Oh my god ,(G)I-DLE,2020-04-06,마약같이,ko
Oh my god ,(G)I-DLE,2020-04-06,이게,ko
Oh my god ,(G)I-DLE,2020-04-06,죄라면,ko
Oh my god ,(G)I-DLE,2020-04-06,벌이라도,ko
Oh my god ,(G)I-DLE,2020-04-06,아주,ko
Oh my god ,(G)I-DLE,2020-04-06,달게,ko
Oh my god ,(G)I-DLE,2020-04-06,받지,ko
Oh my god ,(G)I-DLE,2020-04-06,미친,ko
Oh my god ,(G)I-DLE,2020-04-06,듯이,ko
Oh my god ,(G)I-DLE,2020-04-06,아름답고,ko
Oh my god ,(G)I-DLE,2020-04-06,다시,ko
Oh my god ,(G)I-DLE,2020-04-06,보니,ko
Oh my god ,(G)I-DLE,2020-04-06,악마,ko
Oh my god ,(G)I-DLE,2020-04-06,같고,ko
Oh my god ,(G)I-DLE,2020-04-06,이성을,ko
Oh my god ,(G)I-DLE,2020-04-06,쏙,ko
Oh my god ,(G)I-DLE,2020-04-06,빼놓고,ko
Oh my god ,(G)I-DLE,2020-04-06,제멋대로,ko
Oh my god ,(G)I-DLE,2020-04-06,들어오지,ko
Oh my god ,(G)I-DLE,2020-04-06,불꽃처럼,ko
Oh my god ,(G)I-DLE,2020-04-06,강렬하고,ko
Oh my god ,(G)I-DLE,2020-04-06,데일만큼,ko
Oh my god ,(G)I-DLE,2020-04-06,사랑하고,ko
Oh my god ,(G)I-DLE,2020-04-06,결국,ko
Oh my god ,(G)I-DLE,2020-04-06,너를,ko
Oh my god ,(G)I-DLE,2020-04-06,품으니,ko
Oh my god ,(G)I-DLE,2020-04-06,난,ko
Oh my god ,(G)I-DLE,2020-04-06,oh,en
Oh my god ,(G)I-DLE,2020-04-06,my,en
Oh my god ,(G)I-DLE,2020-04-06,god,en
Oh my god ,(G)I-DLE,2020-04-06,she,en
Oh my god ,(G)I-DLE,2020-04-06,took,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,to,en
Oh my god ,(G)I-DLE,2020-04-06,the,en
Oh my god ,(G)I-DLE,2020-04-06,sky,en
Oh my god ,(G)I-DLE,2020-04-06,oh,en
Oh my god ,(G)I-DLE,2020-04-06,my,en
Oh my god ,(G)I-DLE,2020-04-06,god,en
Oh my god ,(G)I-DLE,2020-04-06,she,en
Oh my god ,(G)I-DLE,2020-04-06,showed,en
Oh my god ,(G)I-DLE,2020-04-06,me,en
Oh my god ,(G)I-DLE,2020-04-06,all,en
Oh my god ,(G)I-DLE,2020-04-06,the,en
Oh my god ,(G)I-DLE,2020-04-06,stars,en
Oh my god ,(G)I-DLE,2020-04-06,짙은,ko
Oh my god ,(G)I-DLE,2020-04-06,보랏빛,ko
Oh my god ,(G)I-DLE,2020-04-06,향길,ko
Oh my god ,(G)I-DLE,2020-04-06,온몸에,ko
Oh my god ,(G)I-DLE,2020-04-06,물들이고,ko
Oh my god ,(G)I-DLE,2020-04-06,높고,ko
Oh my god ,(G)I-DLE,2020-04-06,넓은,ko
Oh my god ,(G)I-DLE,2020-04-06,하늘의,ko
Oh my god ,(G)I-DLE,2020-04-06,저,ko
Oh my god ,(G)I-DLE,2020-04-06,끝까지,ko
Oh my god ,(G)I-DLE,2020-04-06,퍼트리네,ko
Oh my god ,(G)I-DLE,2020-04-06,짙은,ko
Oh my god ,(G)I-DLE,2020-04-06,붉은색,ko
Oh my god ,(G)I-DLE,2020-04-06,사랑을,ko
Oh my god ,(G)I-DLE,2020-04-06,얼굴에,ko
Oh my god ,(G)I-DLE,2020-04-06,새기고,ko
Oh my god ,(G)I-DLE,2020-04-06,그,ko
Oh my god ,(G)I-DLE,2020-04-06,누가,ko
Oh my god ,(G)I-DLE,2020-04-06,뭐라,ko
Oh my god ,(G)I-DLE,2020-04-06,해도,ko
Oh my god ,(G)I-DLE,2020-04-06,fall,en
Oh my god ,(G)I-DLE,2020-04-06,in,en
Oh my god ,(G)I-DLE,2020-04-06,love,en
Oh my god ,(G)I-DLE,2020-04-06,oh,en
Oh my god ,(G)I-DLE,2020-04-06,my,en
