title,artist,date,word,language
Falling In Love ,2NE1,2013-07-07,you,en
Falling In Love ,2NE1,2013-07-07,ready,en
Falling In Love ,2NE1,2013-07-07,are,en
Falling In Love ,2NE1,2013-07-07,you,en
Falling In Love ,2NE1,2013-07-07,ready,en
Falling In Love ,2NE1,2013-07-07,you,en
Falling In Love ,2NE1,2013-07-07,aint,en
Falling In Love ,2NE1,2013-07-07,ready,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,over,en
Falling In Love ,2NE1,2013-07-07,here,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,over,en
Falling In Love ,2NE1,2013-07-07,there,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,over,en
Falling In Love ,2NE1,2013-07-07,here,en
Falling In Love ,2NE1,2013-07-07,here,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,over,en
Falling In Love ,2NE1,2013-07-07,there,en
Falling In Love ,2NE1,2013-07-07,there,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,over,en
Falling In Love ,2NE1,2013-07-07,here,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,me,en
Falling In Love ,2NE1,2013-07-07,over,en
Falling In Love ,2NE1,2013-07-07,there,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,ttouch,en
Falling In Love ,2NE1,2013-07-07,touch,en
Falling In Love ,2NE1,2013-07-07,eh,en
Falling In Love ,2NE1,2013-07-07,eh,en
Falling In Love ,2NE1,2013-07-07,oh,en
Falling In Love ,2NE1,2013-07-07,my,en
Falling In Love ,2NE1,2013-07-07,내,ko
Falling In Love ,2NE1,2013-07-07,맘이,ko
Falling In Love ,2NE1,2013-07-07,왜,ko
Falling In Love ,2NE1,2013-07-07,이리,ko
Falling In Love ,2NE1,2013-07-07,설레는지,ko
Falling In Love ,2NE1,2013-07-07,몰라,ko
Falling In Love ,2NE1,2013-07-07,이름도,ko
Falling In Love ,2NE1,2013-07-07,모르는,ko
Falling In Love ,2NE1,2013-07-07,그대,ko
Falling In Love ,2NE1,2013-07-07,앞에서,ko
Falling In Love ,2NE1,2013-07-07,난,ko
Falling In Love ,2NE1,2013-07-07,오,ko
Falling In Love ,2NE1,2013-07-07,천국,ko
Falling In Love ,2NE1,2013-07-07,같은,ko
Falling In Love ,2NE1,2013-07-07,너의,ko
Falling In Love ,2NE1,2013-07-07,눈빛에,ko
Falling In Love ,2NE1,2013-07-07,정말,ko
Falling In Love ,2NE1,2013-07-07,alright,en
Falling In Love ,2NE1,2013-07-07,alright,en
Falling In Love ,2NE1,2013-07-07,alright,en
Falling In Love ,2NE1,2013-07-07,alright,en
Falling In Love ,2NE1,2013-07-07,tonight,en
Falling In Love ,2NE1,2013-07-07,i,en
Falling In Love ,2NE1,2013-07-07,drop,en
Falling In Love ,2NE1,2013-07-07,it,en
Falling In Love ,2NE1,2013-07-07,low,en
Falling In Love ,2NE1,2013-07-07,기분은,ko
Falling In Love ,2NE1,2013-07-07,짜릿해,ko
Falling In Love ,2NE1,2013-07-07,심장은,ko
Falling In Love ,2NE1,2013-07-07,터져,ko
Falling In Love ,2NE1,2013-07-07,blow,en
Falling In Love ,2NE1,2013-07-07,넌,ko
Falling In Love ,2NE1,2013-07-07,내,ko
Falling In Love ,2NE1,2013-07-07,johnny,en
Falling In Love ,2NE1,2013-07-07,depp,en
Falling In Love ,2NE1,2013-07-07,입술이,ko
Falling In Love ,2NE1,2013-07-07,말라와,ko
Falling In Love ,2NE1,2013-07-07,내,ko
Falling In Love ,2NE1,2013-07-07,뼛속,ko
Falling In Love ,2NE1,2013-07-07,끝까지,ko
Falling In Love ,2NE1,2013-07-07,저려와,ko
Falling In Love ,2NE1,2013-07-07,눈부신,ko
Falling In Love ,2NE1,2013-07-07,널,ko
Falling In Love ,2NE1,2013-07-07,쳐다볼,ko
Falling In Love ,2NE1,2013-07-07,수,ko
Falling In Love ,2NE1,2013-07-07,없어,ko
Falling In Love ,2NE1,2013-07-07,boy,en
Falling In Love ,2NE1,2013-07-07,im,en
Falling In Love ,2NE1,2013-07-07,so,en
Falling In Love ,2NE1,2013-07-07,blind,en
Falling In Love ,2NE1,2013-07-07,진흙,ko
Falling In Love ,2NE1,2013-07-07,속,ko
Falling In Love ,2NE1,2013-07-07,진주,ko
Falling In Love ,2NE1,2013-07-07,난,ko
Falling In Love ,2NE1,2013-07-07,너의,ko
Falling In Love ,2NE1,2013-07-07,신부,ko
Falling In Love ,2NE1,2013-07-07,널,ko
Falling In Love ,2NE1,2013-07-07,내,ko
Falling In Love ,2NE1,2013-07-07,걸로,ko
Falling In Love ,2NE1,2013-07-07,만들겠어,ko
Falling In Love ,2NE1,2013-07-07,thats,en
Falling In Love ,2NE1,2013-07-07,what,en
