title,artist,date,word,language
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,싫어,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,왠지,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,몰라도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,여전히,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,네가,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,많이,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,미워,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,아직도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,운명,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,같던,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,만남이,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,이젠,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,님에서,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,남이,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,되어,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,떠나갔어,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,아직도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,맴도는,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,너의,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,향기,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,we,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,used,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,to,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,be,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,all,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,turnt,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,up,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,우린,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,멀어졌어,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,점점,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,넌,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,아니라,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,했지만,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,두고,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,봐,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,사랑의,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,역전,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,오늘도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,외쳐,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,그전처럼,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,lets,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,go,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,앞으로,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,rewind,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,처음으로,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,x,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,o,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,아직도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,널,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,잊지,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,못하고,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,있는,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,내,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,모습이,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,나,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,싫은데,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,잊으려,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,잊으려,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,해도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,그게,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,안돼,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,everyday,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,너,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,아니면,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,안,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,된다고,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,끝이란,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,있을,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,수,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,없다고,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,it,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,aint,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,over,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,til,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,its,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,over,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,it,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,aint,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,over,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,til,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,its,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,over,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,it,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,aint,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,over,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,til,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,it,en
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,너의,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,사랑이,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,날,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,망쳐도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,날,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,아프게,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,한대도,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,내겐,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,오직,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,너,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,하나뿐,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,내,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,사랑은,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,너로,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,시작해,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,너로,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,끝나,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,이,ko
GOTTA BE YOU (너 아님 안돼) ,2NE1,2014-02-26,자리에,ko
