title,artist,date,word,language
Goodbye (안녕) ,2NE1,2017-01-20,날,ko
Goodbye (안녕) ,2NE1,2017-01-20,버리고,ko
Goodbye (안녕) ,2NE1,2017-01-20,가겠다는,ko
Goodbye (안녕) ,2NE1,2017-01-20,말은,ko
Goodbye (안녕) ,2NE1,2017-01-20,하지,ko
Goodbye (안녕) ,2NE1,2017-01-20,마,ko
Goodbye (안녕) ,2NE1,2017-01-20,기억,ko
Goodbye (안녕) ,2NE1,2017-01-20,속,ko
Goodbye (안녕) ,2NE1,2017-01-20,나를,ko
Goodbye (안녕) ,2NE1,2017-01-20,두고,ko
Goodbye (안녕) ,2NE1,2017-01-20,떠나지,ko
Goodbye (안녕) ,2NE1,2017-01-20,마,ko
Goodbye (안녕) ,2NE1,2017-01-20,널,ko
Goodbye (안녕) ,2NE1,2017-01-20,잡을,ko
Goodbye (안녕) ,2NE1,2017-01-20,수,ko
Goodbye (안녕) ,2NE1,2017-01-20,없는,ko
Goodbye (안녕) ,2NE1,2017-01-20,내,ko
Goodbye (안녕) ,2NE1,2017-01-20,눈을,ko
Goodbye (안녕) ,2NE1,2017-01-20,보지,ko
Goodbye (안녕) ,2NE1,2017-01-20,마,ko
Goodbye (안녕) ,2NE1,2017-01-20,그냥,ko
Goodbye (안녕) ,2NE1,2017-01-20,가지,ko
Goodbye (안녕) ,2NE1,2017-01-20,마,ko
Goodbye (안녕) ,2NE1,2017-01-20,속지,ko
Goodbye (안녕) ,2NE1,2017-01-20,마,ko
Goodbye (안녕) ,2NE1,2017-01-20,겨우,ko
Goodbye (안녕) ,2NE1,2017-01-20,이런,ko
Goodbye (안녕) ,2NE1,2017-01-20,유혹에,ko
Goodbye (안녕) ,2NE1,2017-01-20,넘어가지,ko
Goodbye (안녕) ,2NE1,2017-01-20,마,ko
Goodbye (안녕) ,2NE1,2017-01-20,모든,ko
Goodbye (안녕) ,2NE1,2017-01-20,게,ko
Goodbye (안녕) ,2NE1,2017-01-20,영원하지는,ko
Goodbye (안녕) ,2NE1,2017-01-20,않잖아,ko
Goodbye (안녕) ,2NE1,2017-01-20,겨울이,ko
Goodbye (안녕) ,2NE1,2017-01-20,가면,ko
Goodbye (안녕) ,2NE1,2017-01-20,봄은,ko
Goodbye (안녕) ,2NE1,2017-01-20,다시,ko
