title,artist,date,word,language
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,잘,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,나가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,내가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,제일,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,잘,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,나가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,내가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,제일,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,잘,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,나가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,내가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,제일,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,잘,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,나가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,제,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,제,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,제일,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,잘,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,나가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,bam,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,bam,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,bam,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,bam,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,ratatatata,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,oh,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,my,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,god,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,누가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,봐도,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,내가,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,좀,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,죽여주잖아,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,alright,en
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,둘째가라면,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,이,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,몸이,ko
I AM THE BEST (내가 제일 잘 나가) ,2NE1,2011-06-28,서럽잖아,ko
