title,artist,date,word,language
I Love You ,2NE1,2012-07-05,feel,en
I Love You ,2NE1,2012-07-05,like,en
I Love You ,2NE1,2012-07-05,theres,en
I Love You ,2NE1,2012-07-05,no,en
I Love You ,2NE1,2012-07-05,way,en
I Love You ,2NE1,2012-07-05,out,en
I Love You ,2NE1,2012-07-05,love,en
I Love You ,2NE1,2012-07-05,is,en
I Love You ,2NE1,2012-07-05,the,en
I Love You ,2NE1,2012-07-05,only,en
I Love You ,2NE1,2012-07-05,way,en
I Love You ,2NE1,2012-07-05,그대,ko
I Love You ,2NE1,2012-07-05,나에게만,ko
I Love You ,2NE1,2012-07-05,잘해,ko
I Love You ,2NE1,2012-07-05,줘요,ko
I Love You ,2NE1,2012-07-05,항상,ko
I Love You ,2NE1,2012-07-05,나에게만,ko
I Love You ,2NE1,2012-07-05,웃어,ko
I Love You ,2NE1,2012-07-05,줘요,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,said,en
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,질투하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,집착하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,아직,ko
I Love You ,2NE1,2012-07-05,난,ko
I Love You ,2NE1,2012-07-05,사랑이,ko
I Love You ,2NE1,2012-07-05,두려워요,ko
I Love You ,2NE1,2012-07-05,이런,ko
I Love You ,2NE1,2012-07-05,내게,ko
I Love You ,2NE1,2012-07-05,믿음을,ko
I Love You ,2NE1,2012-07-05,줘,ko
I Love You ,2NE1,2012-07-05,봐요,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,said,en
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,질투하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,집착하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,love,en
I Love You ,2NE1,2012-07-05,you,en
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,love,en
I Love You ,2NE1,2012-07-05,you,en
I Love You ,2NE1,2012-07-05,하루,ko
I Love You ,2NE1,2012-07-05,종일,ko
I Love You ,2NE1,2012-07-05,그대,ko
I Love You ,2NE1,2012-07-05,모습,ko
I Love You ,2NE1,2012-07-05,자꾸,ko
I Love You ,2NE1,2012-07-05,떠올라,ko
I Love You ,2NE1,2012-07-05,온종일,ko
I Love You ,2NE1,2012-07-05,울리지,ko
I Love You ,2NE1,2012-07-05,않는,ko
I Love You ,2NE1,2012-07-05,전화기만,ko
I Love You ,2NE1,2012-07-05,또,en
I Love You ,2NE1,2012-07-05,쳐다봐,ko
I Love You ,2NE1,2012-07-05,왜,ko
I Love You ,2NE1,2012-07-05,이런,ko
I Love You ,2NE1,2012-07-05,내,ko
I Love You ,2NE1,2012-07-05,맘을,ko
I Love You ,2NE1,2012-07-05,아직,ko
I Love You ,2NE1,2012-07-05,몰라,ko
I Love You ,2NE1,2012-07-05,난,ko
I Love You ,2NE1,2012-07-05,너의,ko
I Love You ,2NE1,2012-07-05,마음을,ko
I Love You ,2NE1,2012-07-05,아직,ko
I Love You ,2NE1,2012-07-05,잘,ko
I Love You ,2NE1,2012-07-05,몰라,ko
I Love You ,2NE1,2012-07-05,너의,ko
I Love You ,2NE1,2012-07-05,생각에,ko
I Love You ,2NE1,2012-07-05,밤엔,ko
I Love You ,2NE1,2012-07-05,잠도,ko
I Love You ,2NE1,2012-07-05,못,ko
I Love You ,2NE1,2012-07-05,이루다,ko
I Love You ,2NE1,2012-07-05,달빛에,ko
I Love You ,2NE1,2012-07-05,그대를,ko
I Love You ,2NE1,2012-07-05,떠올리며,ko
I Love You ,2NE1,2012-07-05,내,ko
I Love You ,2NE1,2012-07-05,맘,ko
I Love You ,2NE1,2012-07-05,고백해,ko
I Love You ,2NE1,2012-07-05,봐,ko
I Love You ,2NE1,2012-07-05,왜,ko
I Love You ,2NE1,2012-07-05,이런,ko
I Love You ,2NE1,2012-07-05,내,ko
I Love You ,2NE1,2012-07-05,맘을,ko
I Love You ,2NE1,2012-07-05,아직,ko
I Love You ,2NE1,2012-07-05,몰라,ko
I Love You ,2NE1,2012-07-05,난,ko
I Love You ,2NE1,2012-07-05,너의,ko
I Love You ,2NE1,2012-07-05,마음을,ko
I Love You ,2NE1,2012-07-05,아직,ko
I Love You ,2NE1,2012-07-05,잘,ko
I Love You ,2NE1,2012-07-05,몰라,ko
I Love You ,2NE1,2012-07-05,look,en
I Love You ,2NE1,2012-07-05,at,en
I Love You ,2NE1,2012-07-05,me,en
I Love You ,2NE1,2012-07-05,now,en
I Love You ,2NE1,2012-07-05,내,ko
I Love You ,2NE1,2012-07-05,맘을,ko
I Love You ,2NE1,2012-07-05,바라봐요,ko
I Love You ,2NE1,2012-07-05,이렇게,ko
I Love You ,2NE1,2012-07-05,애타는데,ko
I Love You ,2NE1,2012-07-05,지금,ko
I Love You ,2NE1,2012-07-05,날,ko
I Love You ,2NE1,2012-07-05,잡아,ko
I Love You ,2NE1,2012-07-05,줘요,ko
I Love You ,2NE1,2012-07-05,늦기전에,ko
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,love,en
I Love You ,2NE1,2012-07-05,you,en
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,love,en
I Love You ,2NE1,2012-07-05,you,en
I Love You ,2NE1,2012-07-05,멈추지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,사랑,ko
I Love You ,2NE1,2012-07-05,노래,ko
I Love You ,2NE1,2012-07-05,멋진,ko
I Love You ,2NE1,2012-07-05,널,ko
I Love You ,2NE1,2012-07-05,위해,ko
I Love You ,2NE1,2012-07-05,불러줄게,ko
I Love You ,2NE1,2012-07-05,every,en
I Love You ,2NE1,2012-07-05,day,en
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,say,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,say,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,멈추지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,사랑의,ko
I Love You ,2NE1,2012-07-05,dance,en
I Love You ,2NE1,2012-07-05,이,ko
I Love You ,2NE1,2012-07-05,밤을,ko
I Love You ,2NE1,2012-07-05,그대와,ko
I Love You ,2NE1,2012-07-05,보내고,ko
I Love You ,2NE1,2012-07-05,싶은데,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,say,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,say,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,yeah,en
I Love You ,2NE1,2012-07-05,내,ko
I Love You ,2NE1,2012-07-05,맘을,ko
I Love You ,2NE1,2012-07-05,바라봐요,ko
I Love You ,2NE1,2012-07-05,이렇게,ko
I Love You ,2NE1,2012-07-05,애타는데,ko
I Love You ,2NE1,2012-07-05,지금,ko
I Love You ,2NE1,2012-07-05,날,ko
I Love You ,2NE1,2012-07-05,잡아,ko
I Love You ,2NE1,2012-07-05,줘요,ko
I Love You ,2NE1,2012-07-05,늦기,ko
I Love You ,2NE1,2012-07-05,전에,ko
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,eh,en
I Love You ,2NE1,2012-07-05,we,en
I Love You ,2NE1,2012-07-05,cant,en
I Love You ,2NE1,2012-07-05,go,en
I Love You ,2NE1,2012-07-05,wrong,en
I Love You ,2NE1,2012-07-05,bring,en
I Love You ,2NE1,2012-07-05,it,en
I Love You ,2NE1,2012-07-05,back,en
I Love You ,2NE1,2012-07-05,밀고,ko
I Love You ,2NE1,2012-07-05,당기지는,ko
I Love You ,2NE1,2012-07-05,말아,ko
I Love You ,2NE1,2012-07-05,줘요,ko
I Love You ,2NE1,2012-07-05,우리,ko
I Love You ,2NE1,2012-07-05,조금만,ko
I Love You ,2NE1,2012-07-05,솔직해져요,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,said,en
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,질투하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,집착하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,어디서,ko
I Love You ,2NE1,2012-07-05,무얼,ko
I Love You ,2NE1,2012-07-05,할까,ko
I Love You ,2NE1,2012-07-05,궁금해요,ko
I Love You ,2NE1,2012-07-05,혹시,ko
I Love You ,2NE1,2012-07-05,이런,ko
I Love You ,2NE1,2012-07-05,내가,ko
I Love You ,2NE1,2012-07-05,귀찮나요,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,said,en
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,질투하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,ooh,en
I Love You ,2NE1,2012-07-05,집착하게,ko
I Love You ,2NE1,2012-07-05,하지,ko
I Love You ,2NE1,2012-07-05,마요,ko
I Love You ,2NE1,2012-07-05,i,en
I Love You ,2NE1,2012-07-05,love,en
