title,artist,date,word,language
Guerrilla ,ATEEZ (에이티즈),2022-07-29,i,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,got,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,it,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,back,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,판을,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,뒤집어,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,this,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,game,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,one,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,chance,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,바로,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지금,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,이때,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,like,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,that,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,짧고,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,강렬한,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,escape,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,no,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,next,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,나를,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,따라,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,쉽게,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지겨,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지겨워,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지긋지긋,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,또,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,이제,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,기지개,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,저기,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,봐,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,new,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,world,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지겨,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지겨워,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,sick,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,and,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지끈지끈,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,또,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,이제,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,지쳤어,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,so,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,long,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,um,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,사라지는,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,emotion,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,um,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,표정은,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,빛을,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,잃어가,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,um,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,웃음은,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,통제가,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,되어,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,무감각만,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,남은,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,채,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,nooh,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,참을,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,수,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,없어,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,no,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,more,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,lies,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,시간이,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,됐어,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,shoot,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,the,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,flashing,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,light,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,make,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,a,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,move,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,춤을,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,춰,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,break,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,that,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,wall,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,우리,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,feel로,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,여기저기,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,울려,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,퍼져,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,guerrilla,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,this,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,is,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,how,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,we,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,shout,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,크게,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,keep,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,it,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,loud,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,모두,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,다,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,눈뜰,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,때까지,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,춤을,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,춰,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,break,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,that,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,wall,en
Guerrilla ,ATEEZ (에이티즈),2022-07-29,우리,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,feel로,ko
Guerrilla ,ATEEZ (에이티즈),2022-07-29,여기저기,ko
