title,artist,date,word,language
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,oh,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,yeah,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,oh,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,yeah,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,im,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,the,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,one,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,in,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,my,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,zone,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,다른,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,애들은,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,삐약,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,저,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,취한,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,바보들,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,좀,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,봐,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,이건,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,무슨,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,일이야,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,그럴,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,필요,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,없어,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,난,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,its,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,ok,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,im,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,sober,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,가슴만,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,더,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,뜨겁게,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,치워버리지,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,널,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,부드럽게,ko
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,we,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,dont,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,need,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,nothing,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,woo,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,no,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,givin,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,u,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,my,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,invitation,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,eyes,en
I'm The One (불놀이야) ,ATEEZ (에이티즈),2021-03-01,on,en
