title,artist,date,word,language
ROCKY ,ATEEZ (에이티즈),2021-09-13,yes,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,im,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,rocky,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,feel,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,like,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,im,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,rocky,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,dance,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,on,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,the,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,floor,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,feel,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,like,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,im,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,rocky,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,yes,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,im,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,rocky,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,feel,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,like,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,im,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,rocky,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,dance,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,on,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,the,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,floor,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,dance,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,it,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,aint,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,over,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,never,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,die,en
ROCKY ,ATEEZ (에이티즈),2021-09-13,몸을,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,움직여,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,쓰러질,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,수,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,없지,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,난,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,춤춰,ko
ROCKY ,ATEEZ (에이티즈),2021-09-13,발을,ko
