title,artist,date,word,language
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,아직,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,난,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,어린,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,걸지,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,몰라,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,까만,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,밤하늘을,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,맴돌아,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,조급함이,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,만들어,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,놓은,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,난기류는,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,우릴,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,비틀어,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,떨어지네,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,waterfall,en
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,떨어지네,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,waterfall,en
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,끝이,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,없는,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,free,en
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,fall,en
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,끝이,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,없는,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,free,en
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,fall,en
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,거친,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,바람에,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,다친,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,마음에,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,세상은,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,내게,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,추락만을,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,택하라는,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,듯,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,끝없는,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,어둠만,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,이,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,끝에,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,우린,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,어디로,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,어떤,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,모습으로,ko
Turbulence (야간비행) ,ATEEZ (에이티즈),2021-12-10,무엇이,ko
