title,artist,date,word,language
Eternal Sunshine ,ATEEZ,2021-09-13,단,ko
Eternal Sunshine ,ATEEZ,2021-09-13,하나의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,기억,ko
Eternal Sunshine ,ATEEZ,2021-09-13,남길,ko
Eternal Sunshine ,ATEEZ,2021-09-13,수,ko
Eternal Sunshine ,ATEEZ,2021-09-13,있다면,ko
Eternal Sunshine ,ATEEZ,2021-09-13,넌,ko
Eternal Sunshine ,ATEEZ,2021-09-13,어떤,ko
Eternal Sunshine ,ATEEZ,2021-09-13,순간을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,기억하고,ko
Eternal Sunshine ,ATEEZ,2021-09-13,싶니,ko
Eternal Sunshine ,ATEEZ,2021-09-13,난,ko
Eternal Sunshine ,ATEEZ,2021-09-13,하나의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,기억을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,남긴다면,ko
Eternal Sunshine ,ATEEZ,2021-09-13,지금,ko
Eternal Sunshine ,ATEEZ,2021-09-13,이,ko
Eternal Sunshine ,ATEEZ,2021-09-13,순간일,ko
Eternal Sunshine ,ATEEZ,2021-09-13,거야,ko
Eternal Sunshine ,ATEEZ,2021-09-13,what,en
Eternal Sunshine ,ATEEZ,2021-09-13,you,en
Eternal Sunshine ,ATEEZ,2021-09-13,want,en
Eternal Sunshine ,ATEEZ,2021-09-13,my,en
Eternal Sunshine ,ATEEZ,2021-09-13,treasure,en
Eternal Sunshine ,ATEEZ,2021-09-13,hey,en
Eternal Sunshine ,ATEEZ,2021-09-13,fix,en
Eternal Sunshine ,ATEEZ,2021-09-13,on,en
Eternal Sunshine ,ATEEZ,2021-09-13,아름다운,ko
Eternal Sunshine ,ATEEZ,2021-09-13,풍경이길,ko
Eternal Sunshine ,ATEEZ,2021-09-13,바라,ko
Eternal Sunshine ,ATEEZ,2021-09-13,뭘,en
Eternal Sunshine ,ATEEZ,2021-09-13,원하는지,ko
Eternal Sunshine ,ATEEZ,2021-09-13,속삭여줘,ko
Eternal Sunshine ,ATEEZ,2021-09-13,내게,ko
Eternal Sunshine ,ATEEZ,2021-09-13,더,ko
Eternal Sunshine ,ATEEZ,2021-09-13,약속할,ko
Eternal Sunshine ,ATEEZ,2021-09-13,게,ko
Eternal Sunshine ,ATEEZ,2021-09-13,ill,en
Eternal Sunshine ,ATEEZ,2021-09-13,get,en
Eternal Sunshine ,ATEEZ,2021-09-13,you,en
Eternal Sunshine ,ATEEZ,2021-09-13,a,en
Eternal Sunshine ,ATEEZ,2021-09-13,star,en
Eternal Sunshine ,ATEEZ,2021-09-13,꿈꾸던,ko
Eternal Sunshine ,ATEEZ,2021-09-13,그곳,ko
Eternal Sunshine ,ATEEZ,2021-09-13,네,ko
Eternal Sunshine ,ATEEZ,2021-09-13,앞에,ko
Eternal Sunshine ,ATEEZ,2021-09-13,와있을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,거야,ko
Eternal Sunshine ,ATEEZ,2021-09-13,im,en
Eternal Sunshine ,ATEEZ,2021-09-13,coming,en
Eternal Sunshine ,ATEEZ,2021-09-13,up,en
Eternal Sunshine ,ATEEZ,2021-09-13,to,en
Eternal Sunshine ,ATEEZ,2021-09-13,you,en
Eternal Sunshine ,ATEEZ,2021-09-13,look,en
Eternal Sunshine ,ATEEZ,2021-09-13,at,en
Eternal Sunshine ,ATEEZ,2021-09-13,my,en
Eternal Sunshine ,ATEEZ,2021-09-13,heart,en
Eternal Sunshine ,ATEEZ,2021-09-13,maybe,en
Eternal Sunshine ,ATEEZ,2021-09-13,내,ko
Eternal Sunshine ,ATEEZ,2021-09-13,색깔은,ko
Eternal Sunshine ,ATEEZ,2021-09-13,보랏빛,ko
Eternal Sunshine ,ATEEZ,2021-09-13,밤,ko
Eternal Sunshine ,ATEEZ,2021-09-13,잔잔한,ko
Eternal Sunshine ,ATEEZ,2021-09-13,파도의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,노래를,ko
Eternal Sunshine ,ATEEZ,2021-09-13,담아,ko
Eternal Sunshine ,ATEEZ,2021-09-13,찾아온,ko
Eternal Sunshine ,ATEEZ,2021-09-13,8월의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,크리스마스,ko
Eternal Sunshine ,ATEEZ,2021-09-13,스쳐,ko
Eternal Sunshine ,ATEEZ,2021-09-13,가는,ko
Eternal Sunshine ,ATEEZ,2021-09-13,시간,ko
Eternal Sunshine ,ATEEZ,2021-09-13,속,ko
Eternal Sunshine ,ATEEZ,2021-09-13,너와,ko
Eternal Sunshine ,ATEEZ,2021-09-13,내가,ko
Eternal Sunshine ,ATEEZ,2021-09-13,만들어갈,ko
Eternal Sunshine ,ATEEZ,2021-09-13,끝나지,ko
Eternal Sunshine ,ATEEZ,2021-09-13,않을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,축제,ko
Eternal Sunshine ,ATEEZ,2021-09-13,어둠마저,ko
Eternal Sunshine ,ATEEZ,2021-09-13,잠든,ko
Eternal Sunshine ,ATEEZ,2021-09-13,밤,ko
Eternal Sunshine ,ATEEZ,2021-09-13,영원의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,태양을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,띄워,ko
Eternal Sunshine ,ATEEZ,2021-09-13,all,en
Eternal Sunshine ,ATEEZ,2021-09-13,right,en
Eternal Sunshine ,ATEEZ,2021-09-13,turn,en
Eternal Sunshine ,ATEEZ,2021-09-13,it,en
Eternal Sunshine ,ATEEZ,2021-09-13,up,en
Eternal Sunshine ,ATEEZ,2021-09-13,lets,en
Eternal Sunshine ,ATEEZ,2021-09-13,make,en
Eternal Sunshine ,ATEEZ,2021-09-13,it,en
Eternal Sunshine ,ATEEZ,2021-09-13,louder,en
Eternal Sunshine ,ATEEZ,2021-09-13,cant,en
Eternal Sunshine ,ATEEZ,2021-09-13,stop,en
Eternal Sunshine ,ATEEZ,2021-09-13,the,en
Eternal Sunshine ,ATEEZ,2021-09-13,feeling,en
Eternal Sunshine ,ATEEZ,2021-09-13,찬란하게,ko
Eternal Sunshine ,ATEEZ,2021-09-13,반짝임을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,느낀,ko
Eternal Sunshine ,ATEEZ,2021-09-13,순간,ko
Eternal Sunshine ,ATEEZ,2021-09-13,oh,en
Eternal Sunshine ,ATEEZ,2021-09-13,you,en
Eternal Sunshine ,ATEEZ,2021-09-13,know,en
Eternal Sunshine ,ATEEZ,2021-09-13,it,en
Eternal Sunshine ,ATEEZ,2021-09-13,dont,en
Eternal Sunshine ,ATEEZ,2021-09-13,stop,en
Eternal Sunshine ,ATEEZ,2021-09-13,believin,en
Eternal Sunshine ,ATEEZ,2021-09-13,영원보다,ko
Eternal Sunshine ,ATEEZ,2021-09-13,멀리,ko
Eternal Sunshine ,ATEEZ,2021-09-13,기억하고,ko
Eternal Sunshine ,ATEEZ,2021-09-13,싶어,ko
Eternal Sunshine ,ATEEZ,2021-09-13,we,en
Eternal Sunshine ,ATEEZ,2021-09-13,shine,en
Eternal Sunshine ,ATEEZ,2021-09-13,like,en
Eternal Sunshine ,ATEEZ,2021-09-13,eternal,en
Eternal Sunshine ,ATEEZ,2021-09-13,sunshine,en
Eternal Sunshine ,ATEEZ,2021-09-13,oh,en
Eternal Sunshine ,ATEEZ,2021-09-13,oh,en
Eternal Sunshine ,ATEEZ,2021-09-13,so,en
Eternal Sunshine ,ATEEZ,2021-09-13,bright,en
Eternal Sunshine ,ATEEZ,2021-09-13,we,en
Eternal Sunshine ,ATEEZ,2021-09-13,shine,en
Eternal Sunshine ,ATEEZ,2021-09-13,like,en
Eternal Sunshine ,ATEEZ,2021-09-13,eternal,en
Eternal Sunshine ,ATEEZ,2021-09-13,sunshine,en
Eternal Sunshine ,ATEEZ,2021-09-13,oh,en
Eternal Sunshine ,ATEEZ,2021-09-13,we,en
Eternal Sunshine ,ATEEZ,2021-09-13,shine,en
Eternal Sunshine ,ATEEZ,2021-09-13,like,en
Eternal Sunshine ,ATEEZ,2021-09-13,eternal,en
Eternal Sunshine ,ATEEZ,2021-09-13,sunshine,en
Eternal Sunshine ,ATEEZ,2021-09-13,one,en
Eternal Sunshine ,ATEEZ,2021-09-13,나를,ko
Eternal Sunshine ,ATEEZ,2021-09-13,생각해줘,ko
Eternal Sunshine ,ATEEZ,2021-09-13,errday,en
Eternal Sunshine ,ATEEZ,2021-09-13,two,en
Eternal Sunshine ,ATEEZ,2021-09-13,따라,ko
Eternal Sunshine ,ATEEZ,2021-09-13,따라,ko
Eternal Sunshine ,ATEEZ,2021-09-13,불러봐,ko
Eternal Sunshine ,ATEEZ,2021-09-13,이,ko
Eternal Sunshine ,ATEEZ,2021-09-13,노래를,ko
Eternal Sunshine ,ATEEZ,2021-09-13,three,en
Eternal Sunshine ,ATEEZ,2021-09-13,우리는,ko
Eternal Sunshine ,ATEEZ,2021-09-13,모든,ko
Eternal Sunshine ,ATEEZ,2021-09-13,순간에다,ko
Eternal Sunshine ,ATEEZ,2021-09-13,건배해,ko
Eternal Sunshine ,ATEEZ,2021-09-13,okay,en
Eternal Sunshine ,ATEEZ,2021-09-13,치즈,ko
Eternal Sunshine ,ATEEZ,2021-09-13,oh,en
Eternal Sunshine ,ATEEZ,2021-09-13,yeah,en
Eternal Sunshine ,ATEEZ,2021-09-13,피터팬의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,젊음,ko
Eternal Sunshine ,ATEEZ,2021-09-13,그리고,ko
Eternal Sunshine ,ATEEZ,2021-09-13,뫼비우스의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,띠도,ko
Eternal Sunshine ,ATEEZ,2021-09-13,영원한,ko
Eternal Sunshine ,ATEEZ,2021-09-13,건,ko
Eternal Sunshine ,ATEEZ,2021-09-13,많지,ko
Eternal Sunshine ,ATEEZ,2021-09-13,그,ko
Eternal Sunshine ,ATEEZ,2021-09-13,중,ko
Eternal Sunshine ,ATEEZ,2021-09-13,으뜸은,ko
Eternal Sunshine ,ATEEZ,2021-09-13,우리고,ko
Eternal Sunshine ,ATEEZ,2021-09-13,so,en
Eternal Sunshine ,ATEEZ,2021-09-13,tell,en
Eternal Sunshine ,ATEEZ,2021-09-13,me,en
Eternal Sunshine ,ATEEZ,2021-09-13,baby,en
Eternal Sunshine ,ATEEZ,2021-09-13,oh,en
Eternal Sunshine ,ATEEZ,2021-09-13,tell,en
Eternal Sunshine ,ATEEZ,2021-09-13,me,en
Eternal Sunshine ,ATEEZ,2021-09-13,baby,en
Eternal Sunshine ,ATEEZ,2021-09-13,boy,en
Eternal Sunshine ,ATEEZ,2021-09-13,i,en
Eternal Sunshine ,ATEEZ,2021-09-13,cant,en
Eternal Sunshine ,ATEEZ,2021-09-13,let,en
Eternal Sunshine ,ATEEZ,2021-09-13,you,en
Eternal Sunshine ,ATEEZ,2021-09-13,go,en
Eternal Sunshine ,ATEEZ,2021-09-13,스쳐,ko
Eternal Sunshine ,ATEEZ,2021-09-13,가는,ko
Eternal Sunshine ,ATEEZ,2021-09-13,시간,ko
Eternal Sunshine ,ATEEZ,2021-09-13,속,ko
Eternal Sunshine ,ATEEZ,2021-09-13,너와,ko
Eternal Sunshine ,ATEEZ,2021-09-13,내가,ko
Eternal Sunshine ,ATEEZ,2021-09-13,만들어갈,ko
Eternal Sunshine ,ATEEZ,2021-09-13,끝나지,ko
Eternal Sunshine ,ATEEZ,2021-09-13,않을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,축제,ko
Eternal Sunshine ,ATEEZ,2021-09-13,어둠마저,ko
Eternal Sunshine ,ATEEZ,2021-09-13,잠든,ko
Eternal Sunshine ,ATEEZ,2021-09-13,밤,ko
Eternal Sunshine ,ATEEZ,2021-09-13,영원의,ko
Eternal Sunshine ,ATEEZ,2021-09-13,태양을,ko
Eternal Sunshine ,ATEEZ,2021-09-13,띄워,ko
Eternal Sunshine ,ATEEZ,2021-09-13,all,en
Eternal Sunshine ,ATEEZ,2021-09-13,right,en
Eternal Sunshine ,ATEEZ,2021-09-13,turn,en
Eternal Sunshine ,ATEEZ,2021-09-13,it,en
Eternal Sunshine ,ATEEZ,2021-09-13,up,en
Eternal Sunshine ,ATEEZ,2021-09-13,lets,en
Eternal Sunshine ,ATEEZ,2021-09-13,make,en
Eternal Sunshine ,ATEEZ,2021-09-13,it,en
