title,artist,date,word,language
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,센,ko
LOSER ,BIG BANG,2015-04-30,척하는,ko
LOSER ,BIG BANG,2015-04-30,겁쟁이,ko
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,못된,ko
LOSER ,BIG BANG,2015-04-30,양아치,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,넌,ko
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,just,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,상처뿐인,ko
LOSER ,BIG BANG,2015-04-30,머저리,ko
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,더러운,ko
LOSER ,BIG BANG,2015-04-30,쓰레기,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,솔직히,ko
LOSER ,BIG BANG,2015-04-30,세상과,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,어울린,ko
LOSER ,BIG BANG,2015-04-30,적,ko
LOSER ,BIG BANG,2015-04-30,없어,ko
LOSER ,BIG BANG,2015-04-30,홀로였던,ko
LOSER ,BIG BANG,2015-04-30,내겐,ko
LOSER ,BIG BANG,2015-04-30,사랑,ko
LOSER ,BIG BANG,2015-04-30,따윈,ko
LOSER ,BIG BANG,2015-04-30,벌써,ko
LOSER ,BIG BANG,2015-04-30,잊혀,ko
LOSER ,BIG BANG,2015-04-30,진지,ko
LOSER ,BIG BANG,2015-04-30,오래,ko
LOSER ,BIG BANG,2015-04-30,저,ko
LOSER ,BIG BANG,2015-04-30,시간,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,더,ko
LOSER ,BIG BANG,2015-04-30,이상은,ko
LOSER ,BIG BANG,2015-04-30,못,ko
LOSER ,BIG BANG,2015-04-30,듣겠어,ko
LOSER ,BIG BANG,2015-04-30,희망찬,ko
LOSER ,BIG BANG,2015-04-30,사랑,ko
LOSER ,BIG BANG,2015-04-30,노래,ko
LOSER ,BIG BANG,2015-04-30,너나,ko
LOSER ,BIG BANG,2015-04-30,나나,ko
LOSER ,BIG BANG,2015-04-30,그저,ko
LOSER ,BIG BANG,2015-04-30,길들여진,ko
LOSER ,BIG BANG,2015-04-30,대로,ko
LOSER ,BIG BANG,2015-04-30,각본,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,놀아나는,ko
LOSER ,BIG BANG,2015-04-30,슬픈,ko
LOSER ,BIG BANG,2015-04-30,삐에로,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,멀리,ko
LOSER ,BIG BANG,2015-04-30,와버렸어,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,coming,en
LOSER ,BIG BANG,2015-04-30,home,en
LOSER ,BIG BANG,2015-04-30,이제,ko
LOSER ,BIG BANG,2015-04-30,다시,ko
LOSER ,BIG BANG,2015-04-30,돌아갈래,ko
LOSER ,BIG BANG,2015-04-30,어릴,ko
LOSER ,BIG BANG,2015-04-30,적,ko
LOSER ,BIG BANG,2015-04-30,제자리로,ko
LOSER ,BIG BANG,2015-04-30,언제부턴가,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,하늘,ko
LOSER ,BIG BANG,2015-04-30,보다,ko
LOSER ,BIG BANG,2015-04-30,땅을,ko
LOSER ,BIG BANG,2015-04-30,더,ko
LOSER ,BIG BANG,2015-04-30,바라보게,ko
LOSER ,BIG BANG,2015-04-30,돼,ko
LOSER ,BIG BANG,2015-04-30,숨쉬기조차,ko
LOSER ,BIG BANG,2015-04-30,힘겨워,ko
LOSER ,BIG BANG,2015-04-30,손을,ko
LOSER ,BIG BANG,2015-04-30,뻗지만,ko
LOSER ,BIG BANG,2015-04-30,그,ko
LOSER ,BIG BANG,2015-04-30,누구도,ko
LOSER ,BIG BANG,2015-04-30,날,ko
LOSER ,BIG BANG,2015-04-30,잡아,ko
LOSER ,BIG BANG,2015-04-30,주질,ko
LOSER ,BIG BANG,2015-04-30,않네,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,gd승리,ko
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,센,ko
LOSER ,BIG BANG,2015-04-30,척하는,ko
LOSER ,BIG BANG,2015-04-30,겁쟁이,ko
LOSER ,BIG BANG,2015-04-30,gd승리,ko
LOSER ,BIG BANG,2015-04-30,못된,ko
LOSER ,BIG BANG,2015-04-30,양아치,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,넌,ko
LOSER ,BIG BANG,2015-04-30,gd승리,ko
LOSER ,BIG BANG,2015-04-30,just,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,상처뿐인,ko
LOSER ,BIG BANG,2015-04-30,머저리,ko
LOSER ,BIG BANG,2015-04-30,gd승리,ko
LOSER ,BIG BANG,2015-04-30,더러운,ko
LOSER ,BIG BANG,2015-04-30,쓰레기,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,반복되는,ko
LOSER ,BIG BANG,2015-04-30,여자들과의,ko
LOSER ,BIG BANG,2015-04-30,내,ko
LOSER ,BIG BANG,2015-04-30,실수,ko
LOSER ,BIG BANG,2015-04-30,하룻밤을,ko
LOSER ,BIG BANG,2015-04-30,사랑하고,ko
LOSER ,BIG BANG,2015-04-30,해,ko
LOSER ,BIG BANG,2015-04-30,뜨면,ko
LOSER ,BIG BANG,2015-04-30,싫증,ko
LOSER ,BIG BANG,2015-04-30,책임지지,ko
LOSER ,BIG BANG,2015-04-30,못,ko
LOSER ,BIG BANG,2015-04-30,할,ko
LOSER ,BIG BANG,2015-04-30,나의,ko
LOSER ,BIG BANG,2015-04-30,이기적인,ko
LOSER ,BIG BANG,2015-04-30,기쁨,ko
LOSER ,BIG BANG,2015-04-30,하나,ko
LOSER ,BIG BANG,2015-04-30,땜에,ko
LOSER ,BIG BANG,2015-04-30,모든,ko
LOSER ,BIG BANG,2015-04-30,것이,ko
LOSER ,BIG BANG,2015-04-30,망가져버린,ko
LOSER ,BIG BANG,2015-04-30,지금,ko
LOSER ,BIG BANG,2015-04-30,멈출,ko
LOSER ,BIG BANG,2015-04-30,줄,ko
LOSER ,BIG BANG,2015-04-30,모르던,ko
LOSER ,BIG BANG,2015-04-30,나의,ko
LOSER ,BIG BANG,2015-04-30,위험한,ko
LOSER ,BIG BANG,2015-04-30,질주,ko
LOSER ,BIG BANG,2015-04-30,이젠,ko
LOSER ,BIG BANG,2015-04-30,아무런,ko
LOSER ,BIG BANG,2015-04-30,감흥도,ko
LOSER ,BIG BANG,2015-04-30,재미도,ko
LOSER ,BIG BANG,2015-04-30,없는,ko
LOSER ,BIG BANG,2015-04-30,기분,ko
LOSER ,BIG BANG,2015-04-30,나,ko
LOSER ,BIG BANG,2015-04-30,벼랑,ko
LOSER ,BIG BANG,2015-04-30,끝에,ko
LOSER ,BIG BANG,2015-04-30,혼자,ko
LOSER ,BIG BANG,2015-04-30,있네,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,going,en
LOSER ,BIG BANG,2015-04-30,home,en
LOSER ,BIG BANG,2015-04-30,나,ko
LOSER ,BIG BANG,2015-04-30,다시,ko
LOSER ,BIG BANG,2015-04-30,돌아갈래,ko
LOSER ,BIG BANG,2015-04-30,예전의,ko
LOSER ,BIG BANG,2015-04-30,제자리로,ko
LOSER ,BIG BANG,2015-04-30,언제부턴가,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,사람들의,ko
LOSER ,BIG BANG,2015-04-30,시선을,ko
LOSER ,BIG BANG,2015-04-30,두려워만,ko
LOSER ,BIG BANG,2015-04-30,해,ko
LOSER ,BIG BANG,2015-04-30,우는,ko
LOSER ,BIG BANG,2015-04-30,것조차,ko
LOSER ,BIG BANG,2015-04-30,지겨워,ko
LOSER ,BIG BANG,2015-04-30,웃어보지만,ko
LOSER ,BIG BANG,2015-04-30,그,ko
LOSER ,BIG BANG,2015-04-30,아무도,ko
LOSER ,BIG BANG,2015-04-30,날,ko
LOSER ,BIG BANG,2015-04-30,알아주질,ko
LOSER ,BIG BANG,2015-04-30,않네,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,센,ko
LOSER ,BIG BANG,2015-04-30,척하는,ko
LOSER ,BIG BANG,2015-04-30,겁쟁이,ko
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,못된,ko
LOSER ,BIG BANG,2015-04-30,양아치,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,넌,ko
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,just,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,상처뿐인,ko
LOSER ,BIG BANG,2015-04-30,머저리,ko
LOSER ,BIG BANG,2015-04-30,top승리,ko
LOSER ,BIG BANG,2015-04-30,더러운,ko
LOSER ,BIG BANG,2015-04-30,쓰레기,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,파란,ko
LOSER ,BIG BANG,2015-04-30,저,ko
LOSER ,BIG BANG,2015-04-30,하늘을,ko
LOSER ,BIG BANG,2015-04-30,원망하지,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,가끔,ko
LOSER ,BIG BANG,2015-04-30,내려놓고,ko
LOSER ,BIG BANG,2015-04-30,싶어져,ko
LOSER ,BIG BANG,2015-04-30,i,en
LOSER ,BIG BANG,2015-04-30,want,en
LOSER ,BIG BANG,2015-04-30,to,en
LOSER ,BIG BANG,2015-04-30,say,en
LOSER ,BIG BANG,2015-04-30,good,en
LOSER ,BIG BANG,2015-04-30,bye,en
LOSER ,BIG BANG,2015-04-30,이,ko
LOSER ,BIG BANG,2015-04-30,길의,ko
LOSER ,BIG BANG,2015-04-30,끝에,ko
LOSER ,BIG BANG,2015-04-30,방황이,ko
LOSER ,BIG BANG,2015-04-30,끝나면,ko
LOSER ,BIG BANG,2015-04-30,부디,ko
LOSER ,BIG BANG,2015-04-30,후회,ko
LOSER ,BIG BANG,2015-04-30,없는,ko
LOSER ,BIG BANG,2015-04-30,채로,ko
LOSER ,BIG BANG,2015-04-30,두,ko
LOSER ,BIG BANG,2015-04-30,눈,ko
LOSER ,BIG BANG,2015-04-30,감을,ko
LOSER ,BIG BANG,2015-04-30,수,ko
LOSER ,BIG BANG,2015-04-30,있길,ko
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,gd승리,ko
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,센,ko
LOSER ,BIG BANG,2015-04-30,척하는,ko
LOSER ,BIG BANG,2015-04-30,겁쟁이,ko
LOSER ,BIG BANG,2015-04-30,woah,en
LOSER ,BIG BANG,2015-04-30,태양gd승리,ko
LOSER ,BIG BANG,2015-04-30,못된,ko
LOSER ,BIG BANG,2015-04-30,양아치,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,넌,ko
LOSER ,BIG BANG,2015-04-30,gd승리,ko
LOSER ,BIG BANG,2015-04-30,just,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,외톨이,ko
LOSER ,BIG BANG,2015-04-30,상처뿐인,ko
LOSER ,BIG BANG,2015-04-30,머저리,ko
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,oh,en
LOSER ,BIG BANG,2015-04-30,태양gd승리,ko
LOSER ,BIG BANG,2015-04-30,더러운,ko
LOSER ,BIG BANG,2015-04-30,쓰레기,ko
LOSER ,BIG BANG,2015-04-30,거울,ko
LOSER ,BIG BANG,2015-04-30,속에,ko
LOSER ,BIG BANG,2015-04-30,난,ko
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
LOSER ,BIG BANG,2015-04-30,im,en
LOSER ,BIG BANG,2015-04-30,a,en
LOSER ,BIG BANG,2015-04-30,loser,en
