title,artist,date,word,language
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,좋았는데,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,말이야,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,함께할,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,수만,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,있다면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,때론,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,외롭고,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,슬퍼도,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,말이야,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,같이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,할,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,수만,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,있다면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,sing,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,it,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,na,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,na,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,na,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,노래해,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,나나나,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,우리,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이게,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,마지막이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,아니야,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,부디,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,또,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,만나요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,피면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,때론,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽤,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,별난,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,일이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,많아,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,넌,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,나,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,같이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,못난,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,놈을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,만나,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,다시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,누군갈,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,사랑할,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,수,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,있을까,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,아니라면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그럴,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,일은,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,없을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,것,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,같아,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,나,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,의식,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,없이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,발길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,흐름대로,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,가던,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,화려히,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,비춰주던,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,니,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,빛,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,한줄기,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,전율이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,느껴지는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,예쁜,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그곳에,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너로,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,인해,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,설수,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,있던,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,roly,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,poly,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,toy,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,떠나려거든,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,보내,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,드리오리다,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,님이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,가시는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,길에,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,뿌리오리다,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그리워지면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,돌아와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,줘요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그때,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,또,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,다시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,사랑해줘요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,따라,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,잠시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,쉬어가다가,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,자리,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그곳에서,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,기다려요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그땐,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,참,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,좋았는데,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,말이야,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,함께할,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,수만,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,있다면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,때론,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,외롭고,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,슬퍼도,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,말이야,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,같이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,할,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,수만,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,있다면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,많이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,울기도,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,했지만,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,웃은,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,일도,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,많아,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,내,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,머릿속,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,안에는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,추억이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너무,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,많아,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,또한,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,지나갈,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,테니까,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,다음에,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,만나요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,피면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,1,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,년,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,365,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,세상,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,하나뿐인,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,넌,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,내,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,음악의,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,motive,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,일깨워주는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,은인,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,니,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,커다란,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃밭에,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,기대어,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,막,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,떠오르던,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,가사말,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,아직도,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,참,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,생생해,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,빠담빠담,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,너란,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,만개,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,한,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃의,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,색은,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,100000,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,개,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,무한대,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,거대한,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,울림,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,vivaldi의,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,사계,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,아직도,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그댄,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,내,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,맘에,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,담을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,수,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,없는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그림,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,내,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,눈을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,의심하지,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,you,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,are,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,my,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,magical,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,queen,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,떠나려거든,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,보내,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,드리오리다,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,님이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,가시는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,길에,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,뿌리오리다,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그리워지면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,돌아와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,줘요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그때,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,또,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,다시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,사랑해줘요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,따라,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,잠시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,쉬어가다가,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,자리,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그곳에서,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,기다려요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃잎,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,따다,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,입을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,맞추죠,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,얼굴은,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,빨개지고,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃길을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,깔아,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,준비를,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,하죠,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그대가,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,오시는,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그리워지면,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,돌아와,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,줘요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그때,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,또,en
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,다시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,사랑해줘요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,이,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃길,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,따라,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,잠시,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,쉬어가다가,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,자리,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,그곳에서,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,날,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,기다려요,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃잎,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,따다,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,입을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,맞추죠,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,얼굴은,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,빨개지고,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,꽃길을,ko
FLOWER ROAD (꽃길) ,BIGBANG,2018-03-13,깔아,ko
