title,artist,date,word,language
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,dont,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,wanna,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,go,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,too,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,fast,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,cuz,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,nothing,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,really,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,lasts,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,i,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,think,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,i,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,need,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,some,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,time,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,but,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,i,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,cant,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,get,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,you,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,off,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,my,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,mind,en
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,일단,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,시작부터,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,제일,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,센,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,걸로,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,부탁해,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,바텐더,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,연속해,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,들이키고,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,나니,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,모두,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,다,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,예뻐,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,보여,ko
FXXK IT (에라 모르겠다) ,BIGBANG,2016-12-12,침이,ko
