title,artist,date,word,language
IF YOU ,BIGBANG,2015-06-30,나는,ko
IF YOU ,BIGBANG,2015-06-30,아무것도,ko
IF YOU ,BIGBANG,2015-06-30,할,ko
IF YOU ,BIGBANG,2015-06-30,수,ko
IF YOU ,BIGBANG,2015-06-30,없어요,ko
IF YOU ,BIGBANG,2015-06-30,사랑이,ko
IF YOU ,BIGBANG,2015-06-30,떠나가요,ko
IF YOU ,BIGBANG,2015-06-30,나는,ko
IF YOU ,BIGBANG,2015-06-30,바보처럼,ko
IF YOU ,BIGBANG,2015-06-30,멍하니,ko
IF YOU ,BIGBANG,2015-06-30,서있네요,ko
IF YOU ,BIGBANG,2015-06-30,멀어지는,ko
IF YOU ,BIGBANG,2015-06-30,그,ko
IF YOU ,BIGBANG,2015-06-30,뒷모습만을,ko
IF YOU ,BIGBANG,2015-06-30,바라보다,ko
IF YOU ,BIGBANG,2015-06-30,작은,ko
IF YOU ,BIGBANG,2015-06-30,점이,ko
IF YOU ,BIGBANG,2015-06-30,되어,ko
IF YOU ,BIGBANG,2015-06-30,사라진다,ko
IF YOU ,BIGBANG,2015-06-30,시간이,ko
IF YOU ,BIGBANG,2015-06-30,지나면,ko
IF YOU ,BIGBANG,2015-06-30,또,en
IF YOU ,BIGBANG,2015-06-30,무뎌질까,ko
IF YOU ,BIGBANG,2015-06-30,옛,ko
IF YOU ,BIGBANG,2015-06-30,생각이,ko
IF YOU ,BIGBANG,2015-06-30,나,ko
IF YOU ,BIGBANG,2015-06-30,니,ko
IF YOU ,BIGBANG,2015-06-30,생각이,ko
IF YOU ,BIGBANG,2015-06-30,나,ko
IF YOU ,BIGBANG,2015-06-30,if,en
IF YOU ,BIGBANG,2015-06-30,you,en
IF YOU ,BIGBANG,2015-06-30,if,en
IF YOU ,BIGBANG,2015-06-30,you,en
IF YOU ,BIGBANG,2015-06-30,아직,ko
IF YOU ,BIGBANG,2015-06-30,너무,ko
IF YOU ,BIGBANG,2015-06-30,늦지,ko
IF YOU ,BIGBANG,2015-06-30,않았다면,ko
IF YOU ,BIGBANG,2015-06-30,우리,ko
IF YOU ,BIGBANG,2015-06-30,다시,ko
IF YOU ,BIGBANG,2015-06-30,돌아갈,ko
IF YOU ,BIGBANG,2015-06-30,수는,ko
IF YOU ,BIGBANG,2015-06-30,없을까,ko
IF YOU ,BIGBANG,2015-06-30,if,en
IF YOU ,BIGBANG,2015-06-30,you,en
IF YOU ,BIGBANG,2015-06-30,if,en
IF YOU ,BIGBANG,2015-06-30,you,en
IF YOU ,BIGBANG,2015-06-30,너도,ko
IF YOU ,BIGBANG,2015-06-30,나와,ko
IF YOU ,BIGBANG,2015-06-30,같이,ko
IF YOU ,BIGBANG,2015-06-30,힘들다면,ko
IF YOU ,BIGBANG,2015-06-30,우리,ko
IF YOU ,BIGBANG,2015-06-30,조금,ko
IF YOU ,BIGBANG,2015-06-30,쉽게,ko
IF YOU ,BIGBANG,2015-06-30,갈,ko
IF YOU ,BIGBANG,2015-06-30,수는,ko
IF YOU ,BIGBANG,2015-06-30,없을까,ko
IF YOU ,BIGBANG,2015-06-30,있을,ko
IF YOU ,BIGBANG,2015-06-30,때,ko
IF YOU ,BIGBANG,2015-06-30,잘할,ko
