title,artist,date,word,language
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,말아요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,아직은,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,잘,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,모르잖아요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,사실,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,조금은,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,두려운,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,거야,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,그대,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,미안해요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,우리,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,약속하지,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,말아요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,내일은,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,또,en
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,모르잖아요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,하지만,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,이,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,말,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,만은,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,진심이야,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,그대,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,좋아해요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,아무것도,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,묻지,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,말아요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,대답할,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,수,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,없어요,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,지금,ko
Let's Not Fall In Love (우리 사랑하지 말아요) ,BIGBANG,2015-08-04,이렇게,ko
