title,artist,date,word,language
SOBER (맨정신) ,BIGBANG,2015-06-30,잘난,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,척하지,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,마,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,알고,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,보면,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,네가,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,제일,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,불쌍해,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,그래,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,날,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,더,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,자극,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,시켜봐,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,잠깐,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,재미라도,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,볼,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,수,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,있게,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,돈,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,쫓다,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,권력,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,쫓다,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,명예만,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,쫓다,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,가랑이가,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,찢어져,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,자빠질,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,테니까,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,사랑,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,좋다,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,우정,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,좋다,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,말들,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,하지만,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,각오해,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,뒤통수가,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,시릴,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,테니까,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,hey,en
SOBER (맨정신) ,BIGBANG,2015-06-30,doctor,en
SOBER (맨정신) ,BIGBANG,2015-06-30,doctor,en
SOBER (맨정신) ,BIGBANG,2015-06-30,날,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,좀,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,살려줘요,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,확,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,돌아버리겠으니까,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,어설픈,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,말들로,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,둘러대지,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,말고,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,hear,en
SOBER (맨정신) ,BIGBANG,2015-06-30,me,en
SOBER (맨정신) ,BIGBANG,2015-06-30,say,en
SOBER (맨정신) ,BIGBANG,2015-06-30,맨정신이,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,난,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,힘들어,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,아무것도,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,할,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,수가,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,없어,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,맨정신이,ko
SOBER (맨정신) ,BIGBANG,2015-06-30,난,ko
