title,artist,date,word,language
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,이듬해,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,질,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,녘,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,꽃,en
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,피는,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,봄,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,한여름,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,밤의,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,꿈,en
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,가을,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,타,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,겨울,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,내릴,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,눈,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,1년,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,네,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,번,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,또다시,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,봄,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,정들었던,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,내,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,젊은,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,날,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,이제는,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,안녕,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,아름답던,ko
Still Life (봄여름가을겨울) ,BIGBANG,2022-04-04,우리의,ko
