title,artist,date,word,language
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,come,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,a,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,little,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,closer,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,cause,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,you,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,looking,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,thirsty,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,imma,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,make,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,it,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,better,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,sip,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,it,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,like,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,a,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,slurpee,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,snow,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,cone,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,chilly,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,get,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,it,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,free,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,like,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,willy,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,in,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,the,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,jeans,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,like,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,billie,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,you,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,be,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,poppin,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,like,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,a,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,wheelie,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,even,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,in,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,the,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,sun,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,you,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,know,en
Ice Cream ,BLACKPINK and Selena Gomez,2020-08-28,i,en
