title,artist,date,word,language
How You Like That ,BLACKPINK,2020-06-26,blackpink,en
How You Like That ,BLACKPINK,2020-06-26,in,en
How You Like That ,BLACKPINK,2020-06-26,your,en
How You Like That ,BLACKPINK,2020-06-26,area,en
How You Like That ,BLACKPINK,2020-06-26,보란,ko
How You Like That ,BLACKPINK,2020-06-26,듯이,ko
How You Like That ,BLACKPINK,2020-06-26,무너졌어,ko
How You Like That ,BLACKPINK,2020-06-26,바닥을,ko
How You Like That ,BLACKPINK,2020-06-26,뚫고,ko
How You Like That ,BLACKPINK,2020-06-26,저,ko
How You Like That ,BLACKPINK,2020-06-26,지하까지,ko
How You Like That ,BLACKPINK,2020-06-26,옷,ko
How You Like That ,BLACKPINK,2020-06-26,끝자락,ko
How You Like That ,BLACKPINK,2020-06-26,잡겠다고,ko
How You Like That ,BLACKPINK,2020-06-26,저,ko
How You Like That ,BLACKPINK,2020-06-26,높이,ko
How You Like That ,BLACKPINK,2020-06-26,두,ko
How You Like That ,BLACKPINK,2020-06-26,손을,ko
How You Like That ,BLACKPINK,2020-06-26,뻗어봐도,ko
How You Like That ,BLACKPINK,2020-06-26,다시,ko
How You Like That ,BLACKPINK,2020-06-26,캄캄한,ko
How You Like That ,BLACKPINK,2020-06-26,이곳에,ko
How You Like That ,BLACKPINK,2020-06-26,light,en
How You Like That ,BLACKPINK,2020-06-26,up,en
How You Like That ,BLACKPINK,2020-06-26,the,en
How You Like That ,BLACKPINK,2020-06-26,sky,en
How You Like That ,BLACKPINK,2020-06-26,니,ko
How You Like That ,BLACKPINK,2020-06-26,두,ko
How You Like That ,BLACKPINK,2020-06-26,눈을,ko
How You Like That ,BLACKPINK,2020-06-26,보며,ko
How You Like That ,BLACKPINK,2020-06-26,ill,en
How You Like That ,BLACKPINK,2020-06-26,kiss,en
How You Like That ,BLACKPINK,2020-06-26,you,en
How You Like That ,BLACKPINK,2020-06-26,goodbye,en
How You Like That ,BLACKPINK,2020-06-26,실컷,ko
How You Like That ,BLACKPINK,2020-06-26,비웃어라,ko
How You Like That ,BLACKPINK,2020-06-26,꼴좋으니까,ko
How You Like That ,BLACKPINK,2020-06-26,이제,ko
How You Like That ,BLACKPINK,2020-06-26,너희,ko
How You Like That ,BLACKPINK,2020-06-26,하나,ko
How You Like That ,BLACKPINK,2020-06-26,둘,ko
How You Like That ,BLACKPINK,2020-06-26,셋,ko
How You Like That ,BLACKPINK,2020-06-26,ha,en
How You Like That ,BLACKPINK,2020-06-26,how,en
How You Like That ,BLACKPINK,2020-06-26,you,en
How You Like That ,BLACKPINK,2020-06-26,like,en
How You Like That ,BLACKPINK,2020-06-26,that,en
How You Like That ,BLACKPINK,2020-06-26,you,en
