title,artist,date,word,language
Kill This Love ,BLACKPINK,2019-04-04,yeah,en
Kill This Love ,BLACKPINK,2019-04-04,yeah,en
Kill This Love ,BLACKPINK,2019-04-04,blackpink,en
Kill This Love ,BLACKPINK,2019-04-04,in,en
Kill This Love ,BLACKPINK,2019-04-04,your,en
Kill This Love ,BLACKPINK,2019-04-04,area,en
Kill This Love ,BLACKPINK,2019-04-04,yeah,en
Kill This Love ,BLACKPINK,2019-04-04,yeah,en
Kill This Love ,BLACKPINK,2019-04-04,yeah,en
Kill This Love ,BLACKPINK,2019-04-04,천사,ko
Kill This Love ,BLACKPINK,2019-04-04,같은,ko
Kill This Love ,BLACKPINK,2019-04-04,hi,en
Kill This Love ,BLACKPINK,2019-04-04,끝엔,ko
Kill This Love ,BLACKPINK,2019-04-04,악마,ko
Kill This Love ,BLACKPINK,2019-04-04,같은,ko
Kill This Love ,BLACKPINK,2019-04-04,bye,en
Kill This Love ,BLACKPINK,2019-04-04,매번,ko
Kill This Love ,BLACKPINK,2019-04-04,미칠듯한,ko
Kill This Love ,BLACKPINK,2019-04-04,high,en
Kill This Love ,BLACKPINK,2019-04-04,뒤엔,ko
Kill This Love ,BLACKPINK,2019-04-04,뱉어야,ko
Kill This Love ,BLACKPINK,2019-04-04,하는,ko
Kill This Love ,BLACKPINK,2019-04-04,price,en
Kill This Love ,BLACKPINK,2019-04-04,이건,ko
Kill This Love ,BLACKPINK,2019-04-04,답이,ko
Kill This Love ,BLACKPINK,2019-04-04,없는,ko
Kill This Love ,BLACKPINK,2019-04-04,test,en
Kill This Love ,BLACKPINK,2019-04-04,매번,ko
Kill This Love ,BLACKPINK,2019-04-04,속더라도,ko
Kill This Love ,BLACKPINK,2019-04-04,yes,en
Kill This Love ,BLACKPINK,2019-04-04,딱한,ko
Kill This Love ,BLACKPINK,2019-04-04,감정의,ko
Kill This Love ,BLACKPINK,2019-04-04,노예,ko
Kill This Love ,BLACKPINK,2019-04-04,얼어,ko
Kill This Love ,BLACKPINK,2019-04-04,죽을,ko
Kill This Love ,BLACKPINK,2019-04-04,사랑해,ko
Kill This Love ,BLACKPINK,2019-04-04,here,en
Kill This Love ,BLACKPINK,2019-04-04,i,en
Kill This Love ,BLACKPINK,2019-04-04,come,en
Kill This Love ,BLACKPINK,2019-04-04,kick,en
Kill This Love ,BLACKPINK,2019-04-04,in,en
Kill This Love ,BLACKPINK,2019-04-04,the,en
Kill This Love ,BLACKPINK,2019-04-04,door,en
Kill This Love ,BLACKPINK,2019-04-04,uh,en
Kill This Love ,BLACKPINK,2019-04-04,가장,ko
Kill This Love ,BLACKPINK,2019-04-04,독한,ko
Kill This Love ,BLACKPINK,2019-04-04,걸로,ko
Kill This Love ,BLACKPINK,2019-04-04,줘,ko
Kill This Love ,BLACKPINK,2019-04-04,uh,en
Kill This Love ,BLACKPINK,2019-04-04,뻔하디,ko
Kill This Love ,BLACKPINK,2019-04-04,뻔한,ko
Kill This Love ,BLACKPINK,2019-04-04,그,ko
Kill This Love ,BLACKPINK,2019-04-04,love,en
Kill This Love ,BLACKPINK,2019-04-04,더,ko
Kill This Love ,BLACKPINK,2019-04-04,내놔,ko
Kill This Love ,BLACKPINK,2019-04-04,봐,ko
Kill This Love ,BLACKPINK,2019-04-04,give,en
Kill This Love ,BLACKPINK,2019-04-04,me,en
Kill This Love ,BLACKPINK,2019-04-04,some,en
Kill This Love ,BLACKPINK,2019-04-04,more,en
Kill This Love ,BLACKPINK,2019-04-04,알아서,ko
Kill This Love ,BLACKPINK,2019-04-04,매달려,ko
Kill This Love ,BLACKPINK,2019-04-04,벼랑,ko
Kill This Love ,BLACKPINK,2019-04-04,끝에,ko
Kill This Love ,BLACKPINK,2019-04-04,한마디면,ko
Kill This Love ,BLACKPINK,2019-04-04,또,en
Kill This Love ,BLACKPINK,2019-04-04,like,en
Kill This Love ,BLACKPINK,2019-04-04,헤벌레,ko
Kill This Love ,BLACKPINK,2019-04-04,해,ko
Kill This Love ,BLACKPINK,2019-04-04,그,ko
Kill This Love ,BLACKPINK,2019-04-04,따뜻한,ko
Kill This Love ,BLACKPINK,2019-04-04,떨림이,ko
Kill This Love ,BLACKPINK,2019-04-04,새빨간,ko
Kill This Love ,BLACKPINK,2019-04-04,설렘이,ko
Kill This Love ,BLACKPINK,2019-04-04,마치,ko
Kill This Love ,BLACKPINK,2019-04-04,heaven,en
Kill This Love ,BLACKPINK,2019-04-04,같겠지만,ko
Kill This Love ,BLACKPINK,2019-04-04,you,en
Kill This Love ,BLACKPINK,2019-04-04,might,en
Kill This Love ,BLACKPINK,2019-04-04,not,en
Kill This Love ,BLACKPINK,2019-04-04,get,en
Kill This Love ,BLACKPINK,2019-04-04,it,en
Kill This Love ,BLACKPINK,2019-04-04,in,en
Kill This Love ,BLACKPINK,2019-04-04,look,en
Kill This Love ,BLACKPINK,2019-04-04,at,en
Kill This Love ,BLACKPINK,2019-04-04,me,en
Kill This Love ,BLACKPINK,2019-04-04,look,en
Kill This Love ,BLACKPINK,2019-04-04,at,en
Kill This Love ,BLACKPINK,2019-04-04,you,en
Kill This Love ,BLACKPINK,2019-04-04,누가,ko
Kill This Love ,BLACKPINK,2019-04-04,더,ko
Kill This Love ,BLACKPINK,2019-04-04,아플까,ko
Kill This Love ,BLACKPINK,2019-04-04,you,en
Kill This Love ,BLACKPINK,2019-04-04,smart,en
Kill This Love ,BLACKPINK,2019-04-04,누가,ko
Kill This Love ,BLACKPINK,2019-04-04,you,en
Kill This Love ,BLACKPINK,2019-04-04,are,en
Kill This Love ,BLACKPINK,2019-04-04,두,ko
Kill This Love ,BLACKPINK,2019-04-04,눈에,ko
Kill This Love ,BLACKPINK,2019-04-04,피눈물,ko
Kill This Love ,BLACKPINK,2019-04-04,흐르게,ko
Kill This Love ,BLACKPINK,2019-04-04,된다면,ko
Kill This Love ,BLACKPINK,2019-04-04,so,en
Kill This Love ,BLACKPINK,2019-04-04,sorry,en
