title,artist,date,word,language
Lovesick Girls ,BLACKPINK,2020-10-02,영원한,ko
Lovesick Girls ,BLACKPINK,2020-10-02,밤,ko
Lovesick Girls ,BLACKPINK,2020-10-02,창문,ko
Lovesick Girls ,BLACKPINK,2020-10-02,없는,ko
Lovesick Girls ,BLACKPINK,2020-10-02,방에,ko
Lovesick Girls ,BLACKPINK,2020-10-02,우릴,ko
Lovesick Girls ,BLACKPINK,2020-10-02,가둔,ko
Lovesick Girls ,BLACKPINK,2020-10-02,love,en
Lovesick Girls ,BLACKPINK,2020-10-02,what,en
Lovesick Girls ,BLACKPINK,2020-10-02,can,en
Lovesick Girls ,BLACKPINK,2020-10-02,we,en
Lovesick Girls ,BLACKPINK,2020-10-02,say,en
Lovesick Girls ,BLACKPINK,2020-10-02,매번,ko
Lovesick Girls ,BLACKPINK,2020-10-02,아파도,ko
Lovesick Girls ,BLACKPINK,2020-10-02,외치는,ko
Lovesick Girls ,BLACKPINK,2020-10-02,love,en
Lovesick Girls ,BLACKPINK,2020-10-02,다치고,ko
Lovesick Girls ,BLACKPINK,2020-10-02,망가져도,ko
Lovesick Girls ,BLACKPINK,2020-10-02,나,ko
Lovesick Girls ,BLACKPINK,2020-10-02,뭘,en
Lovesick Girls ,BLACKPINK,2020-10-02,믿고,ko
Lovesick Girls ,BLACKPINK,2020-10-02,버티는,ko
Lovesick Girls ,BLACKPINK,2020-10-02,거야,ko
Lovesick Girls ,BLACKPINK,2020-10-02,어차피,ko
Lovesick Girls ,BLACKPINK,2020-10-02,떠나면,ko
Lovesick Girls ,BLACKPINK,2020-10-02,상처투성인,ko
Lovesick Girls ,BLACKPINK,2020-10-02,채로,ko
Lovesick Girls ,BLACKPINK,2020-10-02,미워하게,ko
Lovesick Girls ,BLACKPINK,2020-10-02,될걸,ko
Lovesick Girls ,BLACKPINK,2020-10-02,끝장을,ko
Lovesick Girls ,BLACKPINK,2020-10-02,보기,ko
Lovesick Girls ,BLACKPINK,2020-10-02,전,ko
Lovesick Girls ,BLACKPINK,2020-10-02,끝낼,ko
Lovesick Girls ,BLACKPINK,2020-10-02,순,ko
Lovesick Girls ,BLACKPINK,2020-10-02,없어,ko
Lovesick Girls ,BLACKPINK,2020-10-02,이,ko
Lovesick Girls ,BLACKPINK,2020-10-02,아픔을,ko
Lovesick Girls ,BLACKPINK,2020-10-02,기다린,ko
Lovesick Girls ,BLACKPINK,2020-10-02,것처럼,ko
Lovesick Girls ,BLACKPINK,2020-10-02,아마,ko
Lovesick Girls ,BLACKPINK,2020-10-02,다,ko
Lovesick Girls ,BLACKPINK,2020-10-02,잠깐,ko
Lovesick Girls ,BLACKPINK,2020-10-02,일지도,ko
Lovesick Girls ,BLACKPINK,2020-10-02,몰라,ko
Lovesick Girls ,BLACKPINK,2020-10-02,우린,ko
Lovesick Girls ,BLACKPINK,2020-10-02,무얼,ko
Lovesick Girls ,BLACKPINK,2020-10-02,찾아서,ko
Lovesick Girls ,BLACKPINK,2020-10-02,헤매는,ko
Lovesick Girls ,BLACKPINK,2020-10-02,걸까,ko
Lovesick Girls ,BLACKPINK,2020-10-02,but,en
Lovesick Girls ,BLACKPINK,2020-10-02,i,en
Lovesick Girls ,BLACKPINK,2020-10-02,dont,en
Lovesick Girls ,BLACKPINK,2020-10-02,care,en
Lovesick Girls ,BLACKPINK,2020-10-02,ill,en
Lovesick Girls ,BLACKPINK,2020-10-02,do,en
Lovesick Girls ,BLACKPINK,2020-10-02,it,en
Lovesick Girls ,BLACKPINK,2020-10-02,over,en
Lovesick Girls ,BLACKPINK,2020-10-02,and,en
Lovesick Girls ,BLACKPINK,2020-10-02,over,en
Lovesick Girls ,BLACKPINK,2020-10-02,내,ko
Lovesick Girls ,BLACKPINK,2020-10-02,세상,ko
Lovesick Girls ,BLACKPINK,2020-10-02,속엔,ko
Lovesick Girls ,BLACKPINK,2020-10-02,너만,ko
Lovesick Girls ,BLACKPINK,2020-10-02,있으면,ko
Lovesick Girls ,BLACKPINK,2020-10-02,돼,ko
Lovesick Girls ,BLACKPINK,2020-10-02,we,en
Lovesick Girls ,BLACKPINK,2020-10-02,are,en
Lovesick Girls ,BLACKPINK,2020-10-02,the,en
Lovesick Girls ,BLACKPINK,2020-10-02,lovesick,en
Lovesick Girls ,BLACKPINK,2020-10-02,girls,en
Lovesick Girls ,BLACKPINK,2020-10-02,네,ko
Lovesick Girls ,BLACKPINK,2020-10-02,멋대로,ko
Lovesick Girls ,BLACKPINK,2020-10-02,내,ko
Lovesick Girls ,BLACKPINK,2020-10-02,사랑을,ko
Lovesick Girls ,BLACKPINK,2020-10-02,끝낼,ko
Lovesick Girls ,BLACKPINK,2020-10-02,순,ko
Lovesick Girls ,BLACKPINK,2020-10-02,없어,ko
Lovesick Girls ,BLACKPINK,2020-10-02,we,en
Lovesick Girls ,BLACKPINK,2020-10-02,are,en
Lovesick Girls ,BLACKPINK,2020-10-02,the,en
Lovesick Girls ,BLACKPINK,2020-10-02,lovesick,en
Lovesick Girls ,BLACKPINK,2020-10-02,girls,en
Lovesick Girls ,BLACKPINK,2020-10-02,이,ko
Lovesick Girls ,BLACKPINK,2020-10-02,아픔,ko
Lovesick Girls ,BLACKPINK,2020-10-02,없인,ko
Lovesick Girls ,BLACKPINK,2020-10-02,난,ko
Lovesick Girls ,BLACKPINK,2020-10-02,아무,ko
Lovesick Girls ,BLACKPINK,2020-10-02,의미가,ko
Lovesick Girls ,BLACKPINK,2020-10-02,없어,ko
Lovesick Girls ,BLACKPINK,2020-10-02,but,en
Lovesick Girls ,BLACKPINK,2020-10-02,we,en
Lovesick Girls ,BLACKPINK,2020-10-02,were,en
Lovesick Girls ,BLACKPINK,2020-10-02,born,en
Lovesick Girls ,BLACKPINK,2020-10-02,to,en
Lovesick Girls ,BLACKPINK,2020-10-02,be,en
Lovesick Girls ,BLACKPINK,2020-10-02,alone,en
Lovesick Girls ,BLACKPINK,2020-10-02,yeah,en
Lovesick Girls ,BLACKPINK,2020-10-02,we,en
Lovesick Girls ,BLACKPINK,2020-10-02,were,en
