title,artist,date,word,language
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,boy,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,make,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,em,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,whistle,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,like,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,a,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,missile,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,bomb,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,bomb,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,every,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,time,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,i,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,show,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,up,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,blow,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,up,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,uh,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,make,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,em,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,whistle,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,like,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,a,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,missile,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,bomb,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,bomb,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,every,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,time,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,i,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,show,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,up,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,blow,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,up,en
WHISTLE (휘파람) ,BLACKPINK,2016-08-08,uh,en
