title,artist,date,word,language
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,피,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,땀,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,눈물,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,마지막,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,춤을,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,다,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,가져가,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,가,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,피,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,땀,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,눈물,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,차가운,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,숨을,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,다,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,가져가,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,가,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,피,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,땀,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,눈물,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,피,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,땀,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,눈물도,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,내,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,몸,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,마음,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,영혼도,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,너의,ko
Blood Sweat & Tears (피 땀 눈물) ,BTS (방탄소년단),2016-10-09,것인,ko
