title,artist,date,word,language
FAKE LOVE ,BTS (방탄소년단),2018-05-18,널,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,위해서라면,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,난,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,슬퍼도,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,기쁜,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,척,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,할,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,수가,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,있었어,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,널,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,위해서라면,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,난,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,아파도,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,강한,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,척,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,할,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,수가,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,있었어,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,사랑이,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,사랑만으로,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,완벽하길,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,내,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,모든,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,약점들은,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,다,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,숨겨지길,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,이뤄지지,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,않는,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,꿈속에서,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,피울,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,수,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,없는,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,꽃을,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,키웠어,ko
FAKE LOVE ,BTS (방탄소년단),2018-05-18,im,en
FAKE LOVE ,BTS (방탄소년단),2018-05-18,so,en
FAKE LOVE ,BTS (방탄소년단),2018-05-18,sick,en
FAKE LOVE ,BTS (방탄소년단),2018-05-18,of,en
