title,artist,date,word,language
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,yeah,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,yeah,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,just,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,one,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,day,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,one,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,night,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,하루만,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,내게,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,시간이,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,있다면,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,달콤한,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,니,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,향기에,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,취해서,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,곤히,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,난,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,잠들고파,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,빡빡한,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,스케줄,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,사이에,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,기회가,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,있다면,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,따스하고,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,깊은,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,눈,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,안에,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,몸,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,담그고파,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,i,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,like,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,that,en
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,너의,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,그,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,길고,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,긴,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,생머리,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,올려,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,묶을,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,때의,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,아찔한,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,목선과,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,흘러내린,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,잔머리,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,서로,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,같이,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,어딜,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,가든,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,내,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,핸드백은,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,니,ko
Just One Day (하루만) ,BTS (방탄소년단),2014-02-13,허리,ko
