title,artist,date,word,language
Not Today ,BTS (방탄소년단),2017-02-12,the,en
Not Today ,BTS (방탄소년단),2017-02-12,underdogs,en
Not Today ,BTS (방탄소년단),2017-02-12,in,en
Not Today ,BTS (방탄소년단),2017-02-12,the,en
Not Today ,BTS (방탄소년단),2017-02-12,world,en
Not Today ,BTS (방탄소년단),2017-02-12,a,en
Not Today ,BTS (방탄소년단),2017-02-12,day,en
Not Today ,BTS (방탄소년단),2017-02-12,may,en
Not Today ,BTS (방탄소년단),2017-02-12,come,en
Not Today ,BTS (방탄소년단),2017-02-12,when,en
Not Today ,BTS (방탄소년단),2017-02-12,we,en
Not Today ,BTS (방탄소년단),2017-02-12,lose,en
Not Today ,BTS (방탄소년단),2017-02-12,but,en
Not Today ,BTS (방탄소년단),2017-02-12,it,en
Not Today ,BTS (방탄소년단),2017-02-12,is,en
Not Today ,BTS (방탄소년단),2017-02-12,not,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,we,en
Not Today ,BTS (방탄소년단),2017-02-12,fight,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,not,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,언젠가,ko
Not Today ,BTS (방탄소년단),2017-02-12,꽃은,ko
Not Today ,BTS (방탄소년단),2017-02-12,지겠지,ko
Not Today ,BTS (방탄소년단),2017-02-12,but,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,not,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,그,ko
Not Today ,BTS (방탄소년단),2017-02-12,때가,ko
Not Today ,BTS (방탄소년단),2017-02-12,오늘은,ko
Not Today ,BTS (방탄소년단),2017-02-12,아니지,ko
Not Today ,BTS (방탄소년단),2017-02-12,슈가랩몬,ko
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,not,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,아직은,ko
Not Today ,BTS (방탄소년단),2017-02-12,죽기엔,ko
Not Today ,BTS (방탄소년단),2017-02-12,too,en
Not Today ,BTS (방탄소년단),2017-02-12,good,en
Not Today ,BTS (방탄소년단),2017-02-12,day,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,not,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,슈가제이홉,ko
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,no,en
Not Today ,BTS (방탄소년단),2017-02-12,슈가랩몬,ko
Not Today ,BTS (방탄소년단),2017-02-12,not,en
Not Today ,BTS (방탄소년단),2017-02-12,today,en
Not Today ,BTS (방탄소년단),2017-02-12,그래,ko
Not Today ,BTS (방탄소년단),2017-02-12,우리는,ko
Not Today ,BTS (방탄소년단),2017-02-12,extra,en
Not Today ,BTS (방탄소년단),2017-02-12,but,en
Not Today ,BTS (방탄소년단),2017-02-12,still,en
Not Today ,BTS (방탄소년단),2017-02-12,part,en
Not Today ,BTS (방탄소년단),2017-02-12,of,en
Not Today ,BTS (방탄소년단),2017-02-12,this,en
Not Today ,BTS (방탄소년단),2017-02-12,world,en
Not Today ,BTS (방탄소년단),2017-02-12,extra,en
Not Today ,BTS (방탄소년단),2017-02-12,plus,en
Not Today ,BTS (방탄소년단),2017-02-12,ordinary,en
