title,artist,date,word,language
ON ,BTS (방탄소년단),2020-02-21,cant,en
ON ,BTS (방탄소년단),2020-02-21,understand,en
ON ,BTS (방탄소년단),2020-02-21,what,en
ON ,BTS (방탄소년단),2020-02-21,people,en
ON ,BTS (방탄소년단),2020-02-21,are,en
ON ,BTS (방탄소년단),2020-02-21,sayin,en
ON ,BTS (방탄소년단),2020-02-21,어느,ko
ON ,BTS (방탄소년단),2020-02-21,장단에,ko
ON ,BTS (방탄소년단),2020-02-21,맞춰야,ko
ON ,BTS (방탄소년단),2020-02-21,될지,ko
ON ,BTS (방탄소년단),2020-02-21,한,ko
ON ,BTS (방탄소년단),2020-02-21,발자국,ko
ON ,BTS (방탄소년단),2020-02-21,떼면,ko
ON ,BTS (방탄소년단),2020-02-21,한,ko
ON ,BTS (방탄소년단),2020-02-21,발자국,ko
ON ,BTS (방탄소년단),2020-02-21,커지는,ko
ON ,BTS (방탄소년단),2020-02-21,shadow,en
ON ,BTS (방탄소년단),2020-02-21,잠에서,ko
ON ,BTS (방탄소년단),2020-02-21,눈을,ko
ON ,BTS (방탄소년단),2020-02-21,뜬,ko
ON ,BTS (방탄소년단),2020-02-21,여긴,ko
ON ,BTS (방탄소년단),2020-02-21,또,en
ON ,BTS (방탄소년단),2020-02-21,어디,ko
ON ,BTS (방탄소년단),2020-02-21,어쩜,ko
ON ,BTS (방탄소년단),2020-02-21,서울,ko
ON ,BTS (방탄소년단),2020-02-21,또,en
ON ,BTS (방탄소년단),2020-02-21,new,en
ON ,BTS (방탄소년단),2020-02-21,york,en
ON ,BTS (방탄소년단),2020-02-21,or,en
ON ,BTS (방탄소년단),2020-02-21,paris,en
ON ,BTS (방탄소년단),2020-02-21,일어나니,ko
ON ,BTS (방탄소년단),2020-02-21,휘청이는,ko
ON ,BTS (방탄소년단),2020-02-21,몸,ko
ON ,BTS (방탄소년단),2020-02-21,look,en
ON ,BTS (방탄소년단),2020-02-21,at,en
