title,artist,date,word,language
Beautiful Feeling ,DAY6,2018-09-15,있어도,ko
Beautiful Feeling ,DAY6,2018-09-15,나도,ko
Beautiful Feeling ,DAY6,2018-09-15,모르게,ko
Beautiful Feeling ,DAY6,2018-09-15,미소를,ko
Beautiful Feeling ,DAY6,2018-09-15,짓고,ko
Beautiful Feeling ,DAY6,2018-09-15,있는,ko
Beautiful Feeling ,DAY6,2018-09-15,나를,ko
Beautiful Feeling ,DAY6,2018-09-15,보면,ko
Beautiful Feeling ,DAY6,2018-09-15,신기해,ko
Beautiful Feeling ,DAY6,2018-09-15,하루가,ko
Beautiful Feeling ,DAY6,2018-09-15,지나갈,ko
Beautiful Feeling ,DAY6,2018-09-15,수록,ko
Beautiful Feeling ,DAY6,2018-09-15,널,ko
Beautiful Feeling ,DAY6,2018-09-15,향한,ko
Beautiful Feeling ,DAY6,2018-09-15,나의,ko
Beautiful Feeling ,DAY6,2018-09-15,맘은,ko
Beautiful Feeling ,DAY6,2018-09-15,더,ko
Beautiful Feeling ,DAY6,2018-09-15,깊어지고,ko
Beautiful Feeling ,DAY6,2018-09-15,있어,ko
Beautiful Feeling ,DAY6,2018-09-15,지금,ko
Beautiful Feeling ,DAY6,2018-09-15,이,ko
Beautiful Feeling ,DAY6,2018-09-15,노래가,ko
Beautiful Feeling ,DAY6,2018-09-15,또,en
Beautiful Feeling ,DAY6,2018-09-15,다른,ko
Beautiful Feeling ,DAY6,2018-09-15,사랑노래,ko
Beautiful Feeling ,DAY6,2018-09-15,같을,ko
Beautiful Feeling ,DAY6,2018-09-15,수,ko
Beautiful Feeling ,DAY6,2018-09-15,있어,ko
Beautiful Feeling ,DAY6,2018-09-15,yeah,en
Beautiful Feeling ,DAY6,2018-09-15,i,en
Beautiful Feeling ,DAY6,2018-09-15,know,en
Beautiful Feeling ,DAY6,2018-09-15,그래도,ko
Beautiful Feeling ,DAY6,2018-09-15,난,ko
Beautiful Feeling ,DAY6,2018-09-15,부르고,ko
Beautiful Feeling ,DAY6,2018-09-15,싶어,ko
Beautiful Feeling ,DAY6,2018-09-15,지금,ko
Beautiful Feeling ,DAY6,2018-09-15,이,ko
Beautiful Feeling ,DAY6,2018-09-15,느낌을,ko
Beautiful Feeling ,DAY6,2018-09-15,so,en
Beautiful Feeling ,DAY6,2018-09-15,baby,en
Beautiful Feeling ,DAY6,2018-09-15,들어줘,ko
Beautiful Feeling ,DAY6,2018-09-15,너를,ko
Beautiful Feeling ,DAY6,2018-09-15,위해,ko
Beautiful Feeling ,DAY6,2018-09-15,부를게,ko
Beautiful Feeling ,DAY6,2018-09-15,너와,ko
Beautiful Feeling ,DAY6,2018-09-15,같은,ko
Beautiful Feeling ,DAY6,2018-09-15,하늘아래에,ko
Beautiful Feeling ,DAY6,2018-09-15,숨쉬는,ko
Beautiful Feeling ,DAY6,2018-09-15,매,ko
Beautiful Feeling ,DAY6,2018-09-15,순간이,ko
Beautiful Feeling ,DAY6,2018-09-15,난,ko
Beautiful Feeling ,DAY6,2018-09-15,좋아,ko
Beautiful Feeling ,DAY6,2018-09-15,사랑이란,ko
Beautiful Feeling ,DAY6,2018-09-15,단어론,ko
Beautiful Feeling ,DAY6,2018-09-15,충분하지가,ko
Beautiful Feeling ,DAY6,2018-09-15,않아,ko
Beautiful Feeling ,DAY6,2018-09-15,이,ko
Beautiful Feeling ,DAY6,2018-09-15,아름다운,ko
Beautiful Feeling ,DAY6,2018-09-15,느낌,ko
Beautiful Feeling ,DAY6,2018-09-15,its,en
Beautiful Feeling ,DAY6,2018-09-15,beautiful,en
Beautiful Feeling ,DAY6,2018-09-15,its,en
Beautiful Feeling ,DAY6,2018-09-15,beautiful,en
Beautiful Feeling ,DAY6,2018-09-15,this,en
Beautiful Feeling ,DAY6,2018-09-15,beautiful,en
Beautiful Feeling ,DAY6,2018-09-15,feeling,en
Beautiful Feeling ,DAY6,2018-09-15,이,ko
Beautiful Feeling ,DAY6,2018-09-15,아름다운,ko
Beautiful Feeling ,DAY6,2018-09-15,느낌,ko
Beautiful Feeling ,DAY6,2018-09-15,its,en
Beautiful Feeling ,DAY6,2018-09-15,beautiful,en
Beautiful Feeling ,DAY6,2018-09-15,its,en
Beautiful Feeling ,DAY6,2018-09-15,beautiful,en
Beautiful Feeling ,DAY6,2018-09-15,말로,ko
Beautiful Feeling ,DAY6,2018-09-15,다,ko
