title,artist,date,word,language
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,me,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,now,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,설레지,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,않는,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,내가,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,싫어,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,내,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,마음이,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,언젠가부터,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,더는,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,반응하질,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,않아,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,eh,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,hate,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,me,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,now,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,식어버렸으면,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,좋겠어,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,나를,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,보는,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,그,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,눈빛에,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,사랑이,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,없으면,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,좋겠어,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,baby,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,넌,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,참,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,해맑게,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,날,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,사랑한대,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,나도,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,라고,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,말하고,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,싶어,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,no,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,no,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,no,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,넌,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,따뜻하게,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,날,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,바라볼,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,때,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,이미,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,끝나,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,버렸단,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,걸,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,알까,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,sorry,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,어떻게,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,말해,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,넌,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,아직도,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,나와,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,함께,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,할,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,때,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,마다,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,행복해,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,하는데,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,어떻게,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,말해,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,내,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,마음은,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,이미,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,떠났다는,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,말,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,차마,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,나오지가,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,않아,ko
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,oh,en
How Can I Say (어떻게 말해) ,DAY6,2017-03-06,how,en
