title,artist,date,word,language
I Like You (좋아합니다) ,DAY6,2017-12-06,맘대로,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,되는,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,날이,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,그리,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,많지는,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,않았죠,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,사실,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,안,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,그런,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,날이,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,많았죠,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,오늘도,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,그런,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,날이,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,되어버릴까,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,고민이,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,많이,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,되기는,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,하네요,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,이,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,말을,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,하고,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,나면,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,그대와,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,난,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,다시,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,지금처럼,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,웃는,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,얼굴로,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,다시,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,돌아갈,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,수,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,있을지,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,모르겠지만,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,그래도,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,해야겠어요,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,난,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,그대를,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,좋아합니다,ko
I Like You (좋아합니다) ,DAY6,2017-12-06,참으려,ko
