title,artist,date,word,language
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,why,en
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,why,en
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,why,en
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,매일,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,밤,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,천장만,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,바라보다가,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,아이,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,아이야,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,너,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,땜에,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,애만,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,태우는지,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,그렇게,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,알아달라고,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,눈치를,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,줘봐도,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,전혀,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,알지,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,못하는데,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,넌,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,왜,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,그걸,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,몰라,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,oh,en
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,no,en
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,난,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,정말,ko
I'm Serious (장난 아닌데) ,DAY6,2017-04-06,너뿐인데,ko
