title,artist,date,word,language
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,있어,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,보자,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,하곤,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,아무,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,말,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,없이,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,마주,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,앉아,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,지금,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,머릿속엔,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,이,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,말을,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,해야,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,하나,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,마나,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,원하지,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,않지만,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,한없이,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,끌어안고,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,있던,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,널,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,놔야,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,해,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,난,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,아무것도,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,해줄,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,수,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,있는,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,게,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,없는데,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,내가,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,없어야만,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,행복할,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,너라서,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,놓아,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,놓아,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,놓아,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,언젠가,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,웃을,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,수,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,있게,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,네가,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,웃을,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,수,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,있게,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,괜히,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,생각나는,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,우리,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,웃으며,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,장난치던,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,날들,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,너무도,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,소중한,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,기억들이,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,가득,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,차올라,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,원하지,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,않지만,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,한없이,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,끌어안고,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,있던,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,널,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,놔야,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,해,ko
Letting Go (놓아 놓아 놓아) ,DAY6,2016-03-29,난,ko
