title,artist,date,word,language
Shoot Me ,DAY6,2018-06-26,절대,ko
Shoot Me ,DAY6,2018-06-26,아냐,ko
Shoot Me ,DAY6,2018-06-26,네,ko
Shoot Me ,DAY6,2018-06-26,앞에,ko
Shoot Me ,DAY6,2018-06-26,서는,ko
Shoot Me ,DAY6,2018-06-26,건,ko
Shoot Me ,DAY6,2018-06-26,스릴러,ko
Shoot Me ,DAY6,2018-06-26,한편이야,ko
Shoot Me ,DAY6,2018-06-26,잘,ko
Shoot Me ,DAY6,2018-06-26,나가다가도,ko
Shoot Me ,DAY6,2018-06-26,뭔가,ko
Shoot Me ,DAY6,2018-06-26,어긋나면,ko
Shoot Me ,DAY6,2018-06-26,그대로,ko
Shoot Me ,DAY6,2018-06-26,시작이야,ko
Shoot Me ,DAY6,2018-06-26,싸늘해져,ko
Shoot Me ,DAY6,2018-06-26,가는,ko
Shoot Me ,DAY6,2018-06-26,네,ko
Shoot Me ,DAY6,2018-06-26,눈빛,ko
Shoot Me ,DAY6,2018-06-26,무거워지는,ko
Shoot Me ,DAY6,2018-06-26,분위기,ko
Shoot Me ,DAY6,2018-06-26,난,ko
Shoot Me ,DAY6,2018-06-26,그,ko
Shoot Me ,DAY6,2018-06-26,자리,ko
Shoot Me ,DAY6,2018-06-26,가만히,ko
Shoot Me ,DAY6,2018-06-26,앉은,ko
Shoot Me ,DAY6,2018-06-26,채,en
Shoot Me ,DAY6,2018-06-26,숨을,ko
Shoot Me ,DAY6,2018-06-26,고르고,ko
Shoot Me ,DAY6,2018-06-26,있어,ko
Shoot Me ,DAY6,2018-06-26,서로를,ko
Shoot Me ,DAY6,2018-06-26,향한,ko
Shoot Me ,DAY6,2018-06-26,말투는,ko
Shoot Me ,DAY6,2018-06-26,점점,ko
Shoot Me ,DAY6,2018-06-26,더,ko
Shoot Me ,DAY6,2018-06-26,날카로워져만,ko
Shoot Me ,DAY6,2018-06-26,가,ko
Shoot Me ,DAY6,2018-06-26,그래,ko
Shoot Me ,DAY6,2018-06-26,날,ko
Shoot Me ,DAY6,2018-06-26,쏴,ko
Shoot Me ,DAY6,2018-06-26,bang,en
Shoot Me ,DAY6,2018-06-26,bang,en
Shoot Me ,DAY6,2018-06-26,너의,ko
Shoot Me ,DAY6,2018-06-26,bullet,en
Shoot Me ,DAY6,2018-06-26,bullet,en
Shoot Me ,DAY6,2018-06-26,bullet,en
Shoot Me ,DAY6,2018-06-26,얼마든지,ko
Shoot Me ,DAY6,2018-06-26,맞아줄게,ko
Shoot Me ,DAY6,2018-06-26,원한,ko
Shoot Me ,DAY6,2018-06-26,게,ko
Shoot Me ,DAY6,2018-06-26,이거라면,ko
Shoot Me ,DAY6,2018-06-26,just,en
Shoot Me ,DAY6,2018-06-26,shoot,en
Shoot Me ,DAY6,2018-06-26,me,en
Shoot Me ,DAY6,2018-06-26,shoot,en
Shoot Me ,DAY6,2018-06-26,me,en
Shoot Me ,DAY6,2018-06-26,나를,ko
Shoot Me ,DAY6,2018-06-26,향해,ko
Shoot Me ,DAY6,2018-06-26,쏴,ko
Shoot Me ,DAY6,2018-06-26,bang,en
Shoot Me ,DAY6,2018-06-26,bang,en
Shoot Me ,DAY6,2018-06-26,그게,ko
Shoot Me ,DAY6,2018-06-26,편해,ko
Shoot Me ,DAY6,2018-06-26,편해,ko
Shoot Me ,DAY6,2018-06-26,편해,ko
Shoot Me ,DAY6,2018-06-26,이젠,ko
Shoot Me ,DAY6,2018-06-26,너무,ko
Shoot Me ,DAY6,2018-06-26,익숙해,ko
Shoot Me ,DAY6,2018-06-26,이걸로,ko
Shoot Me ,DAY6,2018-06-26,풀린다면,ko
Shoot Me ,DAY6,2018-06-26,just,en
Shoot Me ,DAY6,2018-06-26,shoot,en
Shoot Me ,DAY6,2018-06-26,me,en
Shoot Me ,DAY6,2018-06-26,shoot,en
Shoot Me ,DAY6,2018-06-26,me,en
Shoot Me ,DAY6,2018-06-26,이걸,ko
Shoot Me ,DAY6,2018-06-26,기대한,ko
Shoot Me ,DAY6,2018-06-26,건,ko
