title,artist,date,word,language
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,말이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,우리가,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다시,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,시작하자는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,건,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,아냐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그저,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너의,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,남아있던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,기억들이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,떠올랐을,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,뿐이야,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,정말,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,하루도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,빠짐없이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,사랑한다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,말해줬었지,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,잠들기,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,전에,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,또,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,눈,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,뜨자마자,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,말해주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,생각이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,나,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,말해보는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,거야,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,날,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,바라봐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,눈빛,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,날,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,불러주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,목소리,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,모든,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,게,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,내겐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,더,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,바랄게,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,없는듯한,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,느낌,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,오직,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너만이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,순간들,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,지났지만,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,넌,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너무,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,이제는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,나와의,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,기억이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,추억이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,되었을,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,거야,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너에게는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,어떤,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,말을,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,해도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,지나간,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,일일,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,거야,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,정말,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,한번도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,빠짐없이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,나를,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,먼저,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,생각해줬어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,아무,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,일,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,아니어도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,미안해,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,고마워,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,해주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,생각이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,나,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,말해보는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,거야,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,날,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,바라봐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,눈빛,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,날,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,불러주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,목소리,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,모든,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,게,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,내겐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,더,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,바랄게,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,없는듯한,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,느낌,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,오직,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너만이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,순간들,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,지났지만,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,넌,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너무,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,아직도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,가끔,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,네,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,생각이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,나,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,어렵게,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,전화를,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,걸어볼까,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,생각이,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,들,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,때도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,많지만,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,baby,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,i,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,know,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,its,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,already,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,over,en
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,아무리,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,원해도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너는,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,이제,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,이미,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,끝나버린,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,지난날의,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,한편의,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,영화였었단,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,걸,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,난,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,알아,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,마지막,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,날,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,바라봐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,주던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,눈빛,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,잘,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,지내라던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,목소리,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,그마저도,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,내겐,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,내게,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,보여준,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,눈물까지,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너와,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,가졌던,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,순간들은,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,다,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,지났지만,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,넌,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,너무,ko
You Were Beautiful (예뻤어) ,DAY6,2017-02-05,예뻤어,ko
