title,artist,date,word,language
Fly high (날아올라) ,Dreamcatcher,2017-07-27,yeah,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,fly,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,high,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,lets,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,get,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,it,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,started,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,어둠,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,끝에서,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,난,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,니가,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,보고있을,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,것만,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,같아,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,자꾸만,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,나를,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,흔들어,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,네,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,꿈속을,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,헤매고,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,있어,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,fake,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,it,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,brake,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,it,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,잊혀진,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,시간,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,속에,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,덫에,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,빠진,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,것처럼,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,이,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,밤에,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,갇혀,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,커다랗게,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,새겨진,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,위험한,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,rainbow,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,its,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,like,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,a,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,big,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,black,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,hole,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,in,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,my,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,heart,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,im,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,trapped,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,in,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,the,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,dream,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,시간을,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,멈출,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,수만,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,있다면,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,i,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,can,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,fake,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,it,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,날아올라,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,일곱,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,빛으로,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,가득,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,물들여,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,매일,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,밤,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,니,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,곁에,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,영원히,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,잠들,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,수,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,있게,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,지유한,ko
Fly high (날아올라) ,Dreamcatcher,2017-07-27,cant,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,live,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,without,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,you,en
Fly high (날아올라) ,Dreamcatcher,2017-07-27,i,en
