title,artist,date,word,language
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,가,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,작은,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,조각들로,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,오래,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,기억할,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,수,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,있도록,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,또다시,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,만들어,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,가,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,우리의,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,시간들로,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,가득히,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,채워지게,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,여전히,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,날,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,기억해,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,줄까,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,널,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,그리는,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,마음을,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,담아,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,자꾸,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,시간이,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,멈춰서,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,우리,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,추억들을,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,따라만,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,가,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,그림자는,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,멀어지기만,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,해,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,약속할게,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,만날,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,거야,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,꼭,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,다시,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,지금,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,내,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,맘이,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,널,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,잡지,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,못해,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,흔들리지만,ko
Over the Sky (하늘을 넘어) ,Dreamcatcher,2019-01-16,기억할게,ko
