title,artist,date,word,language
Scream ,Dreamcatcher,2020-02-18,피로,ko
Scream ,Dreamcatcher,2020-02-18,물들여지네,ko
Scream ,Dreamcatcher,2020-02-18,tell,en
Scream ,Dreamcatcher,2020-02-18,me,en
Scream ,Dreamcatcher,2020-02-18,why,en
Scream ,Dreamcatcher,2020-02-18,i,en
Scream ,Dreamcatcher,2020-02-18,dont,en
Scream ,Dreamcatcher,2020-02-18,lie,en
Scream ,Dreamcatcher,2020-02-18,차가운,ko
Scream ,Dreamcatcher,2020-02-18,바람은,ko
Scream ,Dreamcatcher,2020-02-18,불고,ko
Scream ,Dreamcatcher,2020-02-18,시선이,ko
Scream ,Dreamcatcher,2020-02-18,느껴져,ko
Scream ,Dreamcatcher,2020-02-18,와,ko
Scream ,Dreamcatcher,2020-02-18,혈관을,ko
Scream ,Dreamcatcher,2020-02-18,타고,ko
Scream ,Dreamcatcher,2020-02-18,흐르는,ko
Scream ,Dreamcatcher,2020-02-18,all,en
Scream ,Dreamcatcher,2020-02-18,pain,en
Scream ,Dreamcatcher,2020-02-18,묶여진,ko
Scream ,Dreamcatcher,2020-02-18,두,ko
Scream ,Dreamcatcher,2020-02-18,손,ko
Scream ,Dreamcatcher,2020-02-18,저려오는,ko
Scream ,Dreamcatcher,2020-02-18,이,ko
Scream ,Dreamcatcher,2020-02-18,느낌,ko
Scream ,Dreamcatcher,2020-02-18,모두,ko
Scream ,Dreamcatcher,2020-02-18,내게,ko
Scream ,Dreamcatcher,2020-02-18,돌을,ko
Scream ,Dreamcatcher,2020-02-18,던져도,ko
Scream ,Dreamcatcher,2020-02-18,벗어나지,ko
Scream ,Dreamcatcher,2020-02-18,못해,ko
Scream ,Dreamcatcher,2020-02-18,하나도,ko
Scream ,Dreamcatcher,2020-02-18,난,ko
Scream ,Dreamcatcher,2020-02-18,재미없어,ko
Scream ,Dreamcatcher,2020-02-18,누구를,ko
Scream ,Dreamcatcher,2020-02-18,위해서인지,ko
Scream ,Dreamcatcher,2020-02-18,누가,ko
Scream ,Dreamcatcher,2020-02-18,좀,ko
Scream ,Dreamcatcher,2020-02-18,말해,ko
Scream ,Dreamcatcher,2020-02-18,줘,ko
Scream ,Dreamcatcher,2020-02-18,tell,en
Scream ,Dreamcatcher,2020-02-18,me,en
Scream ,Dreamcatcher,2020-02-18,타오르는,ko
Scream ,Dreamcatcher,2020-02-18,불길,ko
Scream ,Dreamcatcher,2020-02-18,위에,ko
Scream ,Dreamcatcher,2020-02-18,now,en
Scream ,Dreamcatcher,2020-02-18,please,en
Scream ,Dreamcatcher,2020-02-18,i,en
Scream ,Dreamcatcher,2020-02-18,dont,en
Scream ,Dreamcatcher,2020-02-18,want,en
Scream ,Dreamcatcher,2020-02-18,to,en
Scream ,Dreamcatcher,2020-02-18,scream,en
Scream ,Dreamcatcher,2020-02-18,devil,en
Scream ,Dreamcatcher,2020-02-18,eyes,en
Scream ,Dreamcatcher,2020-02-18,come,en
Scream ,Dreamcatcher,2020-02-18,눈을,ko
Scream ,Dreamcatcher,2020-02-18,뜬다,ko
Scream ,Dreamcatcher,2020-02-18,눈을,ko
Scream ,Dreamcatcher,2020-02-18,뜬다,ko
Scream ,Dreamcatcher,2020-02-18,please,en
Scream ,Dreamcatcher,2020-02-18,i,en
Scream ,Dreamcatcher,2020-02-18,dont,en
Scream ,Dreamcatcher,2020-02-18,want,en
Scream ,Dreamcatcher,2020-02-18,to,en
Scream ,Dreamcatcher,2020-02-18,scream,en
Scream ,Dreamcatcher,2020-02-18,scream,en
Scream ,Dreamcatcher,2020-02-18,scream,en
Scream ,Dreamcatcher,2020-02-18,scream,en
Scream ,Dreamcatcher,2020-02-18,scream,en
Scream ,Dreamcatcher,2020-02-18,어둠,ko
