title,artist,date,word,language
YOU AND I ,Dreamcatcher,2018-05-10,달려도,ko
YOU AND I ,Dreamcatcher,2018-05-10,넌,ko
YOU AND I ,Dreamcatcher,2018-05-10,다시,ko
YOU AND I ,Dreamcatcher,2018-05-10,또,en
YOU AND I ,Dreamcatcher,2018-05-10,제자리였다고,ko
YOU AND I ,Dreamcatcher,2018-05-10,거울,ko
YOU AND I ,Dreamcatcher,2018-05-10,속,ko
YOU AND I ,Dreamcatcher,2018-05-10,너의,ko
YOU AND I ,Dreamcatcher,2018-05-10,모습이,ko
YOU AND I ,Dreamcatcher,2018-05-10,oh,en
YOU AND I ,Dreamcatcher,2018-05-10,oh,en
YOU AND I ,Dreamcatcher,2018-05-10,일그러지는,ko
YOU AND I ,Dreamcatcher,2018-05-10,mystery,en
YOU AND I ,Dreamcatcher,2018-05-10,fall,en
YOU AND I ,Dreamcatcher,2018-05-10,in,en
YOU AND I ,Dreamcatcher,2018-05-10,fall,en
YOU AND I ,Dreamcatcher,2018-05-10,in,en
YOU AND I ,Dreamcatcher,2018-05-10,해가,ko
YOU AND I ,Dreamcatcher,2018-05-10,저물면,ko
YOU AND I ,Dreamcatcher,2018-05-10,times,en
YOU AND I ,Dreamcatcher,2018-05-10,to,en
YOU AND I ,Dreamcatcher,2018-05-10,be,en
YOU AND I ,Dreamcatcher,2018-05-10,문을,ko
YOU AND I ,Dreamcatcher,2018-05-10,열어둬,ko
YOU AND I ,Dreamcatcher,2018-05-10,모든,ko
YOU AND I ,Dreamcatcher,2018-05-10,빛이,ko
YOU AND I ,Dreamcatcher,2018-05-10,사라진,ko
YOU AND I ,Dreamcatcher,2018-05-10,밤,ko
YOU AND I ,Dreamcatcher,2018-05-10,na,en
YOU AND I ,Dreamcatcher,2018-05-10,na,en
YOU AND I ,Dreamcatcher,2018-05-10,na,en
YOU AND I ,Dreamcatcher,2018-05-10,na,en
YOU AND I ,Dreamcatcher,2018-05-10,스르륵,ko
YOU AND I ,Dreamcatcher,2018-05-10,스르륵,ko
YOU AND I ,Dreamcatcher,2018-05-10,잠든,ko
YOU AND I ,Dreamcatcher,2018-05-10,스르륵,ko
YOU AND I ,Dreamcatcher,2018-05-10,스르륵,ko
YOU AND I ,Dreamcatcher,2018-05-10,곁에,ko
YOU AND I ,Dreamcatcher,2018-05-10,아무도,ko
YOU AND I ,Dreamcatcher,2018-05-10,모르게,ko
YOU AND I ,Dreamcatcher,2018-05-10,다가갈게,ko
YOU AND I ,Dreamcatcher,2018-05-10,now,en
YOU AND I ,Dreamcatcher,2018-05-10,oh,en
YOU AND I ,Dreamcatcher,2018-05-10,now,en
YOU AND I ,Dreamcatcher,2018-05-10,수많은,ko
YOU AND I ,Dreamcatcher,2018-05-10,수많은,ko
YOU AND I ,Dreamcatcher,2018-05-10,별이,ko
YOU AND I ,Dreamcatcher,2018-05-10,너만을,ko
YOU AND I ,Dreamcatcher,2018-05-10,너만을,ko
YOU AND I ,Dreamcatcher,2018-05-10,비추길,ko
YOU AND I ,Dreamcatcher,2018-05-10,헤매지,ko
YOU AND I ,Dreamcatcher,2018-05-10,않게,ko
YOU AND I ,Dreamcatcher,2018-05-10,눈을,ko
YOU AND I ,Dreamcatcher,2018-05-10,떠봐,ko
YOU AND I ,Dreamcatcher,2018-05-10,내,ko
YOU AND I ,Dreamcatcher,2018-05-10,손을,ko
YOU AND I ,Dreamcatcher,2018-05-10,잡아봐,ko
YOU AND I ,Dreamcatcher,2018-05-10,매일,ko
YOU AND I ,Dreamcatcher,2018-05-10,꿈속에만,ko
YOU AND I ,Dreamcatcher,2018-05-10,그렸던,ko
YOU AND I ,Dreamcatcher,2018-05-10,나잖아,ko
YOU AND I ,Dreamcatcher,2018-05-10,그렇게도,ko
YOU AND I ,Dreamcatcher,2018-05-10,원한,ko
YOU AND I ,Dreamcatcher,2018-05-10,너와,ko
YOU AND I ,Dreamcatcher,2018-05-10,내,ko
YOU AND I ,Dreamcatcher,2018-05-10,시간들,ko
YOU AND I ,Dreamcatcher,2018-05-10,baby,en
YOU AND I ,Dreamcatcher,2018-05-10,이제는,ko
YOU AND I ,Dreamcatcher,2018-05-10,나와,ko
YOU AND I ,Dreamcatcher,2018-05-10,함께해,ko
YOU AND I ,Dreamcatcher,2018-05-10,baby,en
YOU AND I ,Dreamcatcher,2018-05-10,you,en
YOU AND I ,Dreamcatcher,2018-05-10,and,en
YOU AND I ,Dreamcatcher,2018-05-10,i,en
YOU AND I ,Dreamcatcher,2018-05-10,baby,en
YOU AND I ,Dreamcatcher,2018-05-10,you,en
YOU AND I ,Dreamcatcher,2018-05-10,and,en
YOU AND I ,Dreamcatcher,2018-05-10,i,en
YOU AND I ,Dreamcatcher,2018-05-10,uh,en
YOU AND I ,Dreamcatcher,2018-05-10,익숙한,ko
YOU AND I ,Dreamcatcher,2018-05-10,길이,ko
YOU AND I ,Dreamcatcher,2018-05-10,낯설게,ko
YOU AND I ,Dreamcatcher,2018-05-10,느껴져,ko
YOU AND I ,Dreamcatcher,2018-05-10,너를,ko
YOU AND I ,Dreamcatcher,2018-05-10,부르는,ko
YOU AND I ,Dreamcatcher,2018-05-10,목소리가,ko
YOU AND I ,Dreamcatcher,2018-05-10,들려,ko
YOU AND I ,Dreamcatcher,2018-05-10,한없이,ko
YOU AND I ,Dreamcatcher,2018-05-10,차가워진,ko
YOU AND I ,Dreamcatcher,2018-05-10,눈빛,ko
YOU AND I ,Dreamcatcher,2018-05-10,돌아서,ko
YOU AND I ,Dreamcatcher,2018-05-10,가는,ko
YOU AND I ,Dreamcatcher,2018-05-10,너를,ko
YOU AND I ,Dreamcatcher,2018-05-10,숨기고,ko
YOU AND I ,Dreamcatcher,2018-05-10,홀린,ko
YOU AND I ,Dreamcatcher,2018-05-10,듯,ko
YOU AND I ,Dreamcatcher,2018-05-10,이끌린,ko
