title,artist,date,word,language
Drunk-Dazed ,ENHYPEN,2021-04-26,아름답고,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,황홀해,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,반짝이는,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,내,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,각막은,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,다이아몬드,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,규칙,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,없는,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,세계는,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,전부,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,뒤집혀,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,뒤집혀,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,서있어,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,turning,en
Drunk-Dazed ,ENHYPEN,2021-04-26,up,en
Drunk-Dazed ,ENHYPEN,2021-04-26,the,en
Drunk-Dazed ,ENHYPEN,2021-04-26,party,en
Drunk-Dazed ,ENHYPEN,2021-04-26,now,en
Drunk-Dazed ,ENHYPEN,2021-04-26,하늘엔,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,내,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,발이,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,wow,en
Drunk-Dazed ,ENHYPEN,2021-04-26,사람들은,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,ha,en
Drunk-Dazed ,ENHYPEN,2021-04-26,ha,en
Drunk-Dazed ,ENHYPEN,2021-04-26,high,en
Drunk-Dazed ,ENHYPEN,2021-04-26,내,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,귓속에는,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,la,en
Drunk-Dazed ,ENHYPEN,2021-04-26,la,en
Drunk-Dazed ,ENHYPEN,2021-04-26,loud,en
Drunk-Dazed ,ENHYPEN,2021-04-26,눈부셔,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,baby,en
Drunk-Dazed ,ENHYPEN,2021-04-26,이,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,조명,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,shining,en
Drunk-Dazed ,ENHYPEN,2021-04-26,were,en
Drunk-Dazed ,ENHYPEN,2021-04-26,in,en
Drunk-Dazed ,ENHYPEN,2021-04-26,love,en
Drunk-Dazed ,ENHYPEN,2021-04-26,with,en
Drunk-Dazed ,ENHYPEN,2021-04-26,this,en
Drunk-Dazed ,ENHYPEN,2021-04-26,carnival,en
Drunk-Dazed ,ENHYPEN,2021-04-26,사실,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,무서워,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,난,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,출렁이는,ko
Drunk-Dazed ,ENHYPEN,2021-04-26,잔속,ko
