title,artist,date,word,language
Tamed-Dashed ,ENHYPEN,2021-10-12,길들여지면,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,되나,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,날,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,매료한,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,욕망의,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,그,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,섬광,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,꿈은,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,아름답게,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,또,en
Tamed-Dashed ,ENHYPEN,2021-10-12,추하게,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,모습을,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,바꿔,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,막,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,oh,en
Tamed-Dashed ,ENHYPEN,2021-10-12,얽히고,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,설켜진,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,차원,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,속에,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,선택의,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,딜레마,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,발을,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,내딛기가,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,난,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,겁이,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,나,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,i,en
Tamed-Dashed ,ENHYPEN,2021-10-12,hate,en
Tamed-Dashed ,ENHYPEN,2021-10-12,＂to,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,be,en
Tamed-Dashed ,ENHYPEN,2021-10-12,or,en
Tamed-Dashed ,ENHYPEN,2021-10-12,not＂,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,like,en
Tamed-Dashed ,ENHYPEN,2021-10-12,hot,en
Tamed-Dashed ,ENHYPEN,2021-10-12,summer,en
Tamed-Dashed ,ENHYPEN,2021-10-12,na,en
Tamed-Dashed ,ENHYPEN,2021-10-12,na,en
Tamed-Dashed ,ENHYPEN,2021-10-12,na,en
Tamed-Dashed ,ENHYPEN,2021-10-12,일단,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,뛰어,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,na,en
Tamed-Dashed ,ENHYPEN,2021-10-12,na,en
Tamed-Dashed ,ENHYPEN,2021-10-12,na,en
Tamed-Dashed ,ENHYPEN,2021-10-12,불꽃에,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,사로잡혀도,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,버려진대도,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,정답은,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,지금,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,알,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,수,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,없어,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,뜨거운,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,심장,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,나를,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,데려가,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,목마른,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,갈증,ko
Tamed-Dashed ,ENHYPEN,2021-10-12,i,en
Tamed-Dashed ,ENHYPEN,2021-10-12,cant,en
Tamed-Dashed ,ENHYPEN,2021-10-12,stop,en
Tamed-Dashed ,ENHYPEN,2021-10-12,me,en
Tamed-Dashed ,ENHYPEN,2021-10-12,like,en
