title,artist,date,word,language
DUN DUN ,EVERGLOW,2020-02-03,북을,ko
DUN DUN ,EVERGLOW,2020-02-03,울려라,ko
DUN DUN ,EVERGLOW,2020-02-03,pa,en
DUN DUN ,EVERGLOW,2020-02-03,rum,en
DUN DUN ,EVERGLOW,2020-02-03,pumpumpumpumpum,en
DUN DUN ,EVERGLOW,2020-02-03,노랠,ko
DUN DUN ,EVERGLOW,2020-02-03,불러라,ko
DUN DUN ,EVERGLOW,2020-02-03,tranananananana,en
DUN DUN ,EVERGLOW,2020-02-03,등장부터,ko
DUN DUN ,EVERGLOW,2020-02-03,좀,ko
DUN DUN ,EVERGLOW,2020-02-03,거칠게,ko
DUN DUN ,EVERGLOW,2020-02-03,갈,ko
DUN DUN ,EVERGLOW,2020-02-03,테니까,ko
DUN DUN ,EVERGLOW,2020-02-03,깜짝,ko
DUN DUN ,EVERGLOW,2020-02-03,놀라지,ko
DUN DUN ,EVERGLOW,2020-02-03,마,ko
DUN DUN ,EVERGLOW,2020-02-03,입에서,ko
DUN DUN ,EVERGLOW,2020-02-03,입으로,ko
DUN DUN ,EVERGLOW,2020-02-03,전해져,ko
DUN DUN ,EVERGLOW,2020-02-03,난,ko
DUN DUN ,EVERGLOW,2020-02-03,방금,ko
DUN DUN ,EVERGLOW,2020-02-03,스친,ko
DUN DUN ,EVERGLOW,2020-02-03,애,ko
DUN DUN ,EVERGLOW,2020-02-03,보통,ko
DUN DUN ,EVERGLOW,2020-02-03,아니라고,ko
DUN DUN ,EVERGLOW,2020-02-03,깊은,ko
DUN DUN ,EVERGLOW,2020-02-03,이,ko
DUN DUN ,EVERGLOW,2020-02-03,정글도,ko
DUN DUN ,EVERGLOW,2020-02-03,나에겐,ko
DUN DUN ,EVERGLOW,2020-02-03,짜릿한,ko
DUN DUN ,EVERGLOW,2020-02-03,놀이터,ko
DUN DUN ,EVERGLOW,2020-02-03,alright,en
DUN DUN ,EVERGLOW,2020-02-03,난,ko
DUN DUN ,EVERGLOW,2020-02-03,골랐어,ko
DUN DUN ,EVERGLOW,2020-02-03,nananananana,en
DUN DUN ,EVERGLOW,2020-02-03,너의,ko
DUN DUN ,EVERGLOW,2020-02-03,그,ko
DUN DUN ,EVERGLOW,2020-02-03,심장에,ko
DUN DUN ,EVERGLOW,2020-02-03,내,ko
DUN DUN ,EVERGLOW,2020-02-03,이름,ko
DUN DUN ,EVERGLOW,2020-02-03,하나를,ko
DUN DUN ,EVERGLOW,2020-02-03,남길래,ko
DUN DUN ,EVERGLOW,2020-02-03,so,en
