title,artist,date,word,language
FIRST ,EVERGLOW,2021-05-25,everglow,en
FIRST ,EVERGLOW,2021-05-25,어두운,ko
FIRST ,EVERGLOW,2021-05-25,밤을,ko
FIRST ,EVERGLOW,2021-05-25,두려워했지,ko
FIRST ,EVERGLOW,2021-05-25,ah,en
FIRST ,EVERGLOW,2021-05-25,yeah,en
FIRST ,EVERGLOW,2021-05-25,yeah,en
FIRST ,EVERGLOW,2021-05-25,너도,ko
FIRST ,EVERGLOW,2021-05-25,몰래,ko
FIRST ,EVERGLOW,2021-05-25,숨어버렸지,ko
FIRST ,EVERGLOW,2021-05-25,ah,en
FIRST ,EVERGLOW,2021-05-25,yeah,en
FIRST ,EVERGLOW,2021-05-25,yeah,en
FIRST ,EVERGLOW,2021-05-25,no,en
FIRST ,EVERGLOW,2021-05-25,one,en
FIRST ,EVERGLOW,2021-05-25,say,en
FIRST ,EVERGLOW,2021-05-25,happy,en
FIRST ,EVERGLOW,2021-05-25,ending,en
FIRST ,EVERGLOW,2021-05-25,숨죽이고,ko
FIRST ,EVERGLOW,2021-05-25,도망,ko
FIRST ,EVERGLOW,2021-05-25,다니지,ko
FIRST ,EVERGLOW,2021-05-25,here,en
FIRST ,EVERGLOW,2021-05-25,we,en
FIRST ,EVERGLOW,2021-05-25,go,en
FIRST ,EVERGLOW,2021-05-25,here,en
FIRST ,EVERGLOW,2021-05-25,we,en
FIRST ,EVERGLOW,2021-05-25,go,en
FIRST ,EVERGLOW,2021-05-25,like,en
FIRST ,EVERGLOW,2021-05-25,knock,en
FIRST ,EVERGLOW,2021-05-25,knock,en
FIRST ,EVERGLOW,2021-05-25,theres,en
FIRST ,EVERGLOW,2021-05-25,a,en
FIRST ,EVERGLOW,2021-05-25,monster,en
FIRST ,EVERGLOW,2021-05-25,점점,ko
FIRST ,EVERGLOW,2021-05-25,커져,ko
FIRST ,EVERGLOW,2021-05-25,니,ko
FIRST ,EVERGLOW,2021-05-25,안의,ko
FIRST ,EVERGLOW,2021-05-25,black,en
FIRST ,EVERGLOW,2021-05-25,hole,en
FIRST ,EVERGLOW,2021-05-25,when,en
FIRST ,EVERGLOW,2021-05-25,you,en
FIRST ,EVERGLOW,2021-05-25,back,en
FIRST ,EVERGLOW,2021-05-25,uh,en
FIRST ,EVERGLOW,2021-05-25,너를,ko
FIRST ,EVERGLOW,2021-05-25,삼킨,ko
FIRST ,EVERGLOW,2021-05-25,howler,en
FIRST ,EVERGLOW,2021-05-25,그게,ko
FIRST ,EVERGLOW,2021-05-25,바로,ko
FIRST ,EVERGLOW,2021-05-25,killer,en
FIRST ,EVERGLOW,2021-05-25,겁내지,ko
FIRST ,EVERGLOW,2021-05-25,마,ko
FIRST ,EVERGLOW,2021-05-25,손을,ko
FIRST ,EVERGLOW,2021-05-25,잡아봐,ko
FIRST ,EVERGLOW,2021-05-25,지나간,ko
FIRST ,EVERGLOW,2021-05-25,과거,ko
FIRST ,EVERGLOW,2021-05-25,너를,ko
FIRST ,EVERGLOW,2021-05-25,두렵게,ko
FIRST ,EVERGLOW,2021-05-25,해,ko
FIRST ,EVERGLOW,2021-05-25,but,en
FIRST ,EVERGLOW,2021-05-25,know,en
FIRST ,EVERGLOW,2021-05-25,your,en
FIRST ,EVERGLOW,2021-05-25,power,en
FIRST ,EVERGLOW,2021-05-25,최후의,ko
FIRST ,EVERGLOW,2021-05-25,be,en
FIRST ,EVERGLOW,2021-05-25,first,en
FIRST ,EVERGLOW,2021-05-25,you,en
FIRST ,EVERGLOW,2021-05-25,know,en
FIRST ,EVERGLOW,2021-05-25,that,en
FIRST ,EVERGLOW,2021-05-25,i,en
FIRST ,EVERGLOW,2021-05-25,come,en
FIRST ,EVERGLOW,2021-05-25,first,en
FIRST ,EVERGLOW,2021-05-25,im,en
FIRST ,EVERGLOW,2021-05-25,the,en
FIRST ,EVERGLOW,2021-05-25,winner,en
FIRST ,EVERGLOW,2021-05-25,winner,en
FIRST ,EVERGLOW,2021-05-25,winner,en
FIRST ,EVERGLOW,2021-05-25,그래,ko
FIRST ,EVERGLOW,2021-05-25,마지막,ko
FIRST ,EVERGLOW,2021-05-25,선율,ko
FIRST ,EVERGLOW,2021-05-25,너를,ko
FIRST ,EVERGLOW,2021-05-25,구할,ko
FIRST ,EVERGLOW,2021-05-25,구할,ko
FIRST ,EVERGLOW,2021-05-25,구할,ko
FIRST ,EVERGLOW,2021-05-25,so,en
FIRST ,EVERGLOW,2021-05-25,dont,en
FIRST ,EVERGLOW,2021-05-25,keep,en
FIRST ,EVERGLOW,2021-05-25,이,ko
FIRST ,EVERGLOW,2021-05-25,세상,ko
FIRST ,EVERGLOW,2021-05-25,어디도,ko
FIRST ,EVERGLOW,2021-05-25,빛은,ko
FIRST ,EVERGLOW,2021-05-25,없단,ko
FIRST ,EVERGLOW,2021-05-25,거짓에,ko
FIRST ,EVERGLOW,2021-05-25,속지는,ko
FIRST ,EVERGLOW,2021-05-25,말아줘,ko
FIRST ,EVERGLOW,2021-05-25,우리,ko
FIRST ,EVERGLOW,2021-05-25,함께,ko
FIRST ,EVERGLOW,2021-05-25,본,ko
FIRST ,EVERGLOW,2021-05-25,적,ko
FIRST ,EVERGLOW,2021-05-25,없는,ko
FIRST ,EVERGLOW,2021-05-25,꿈을,ko
FIRST ,EVERGLOW,2021-05-25,꿀,en
FIRST ,EVERGLOW,2021-05-25,거야,ko
FIRST ,EVERGLOW,2021-05-25,nananananana,en
FIRST ,EVERGLOW,2021-05-25,본,ko
FIRST ,EVERGLOW,2021-05-25,적,ko
FIRST ,EVERGLOW,2021-05-25,없는,ko
