title,artist,date,word,language
Hear Me Out ,EXO,2023-06-30,1,en
Hear Me Out ,EXO,2023-06-30,2,en
Hear Me Out ,EXO,2023-06-30,3,en
Hear Me Out ,EXO,2023-06-30,look,en
Hear Me Out ,EXO,2023-06-30,babe,en
Hear Me Out ,EXO,2023-06-30,더,ko
Hear Me Out ,EXO,2023-06-30,마음에,ko
Hear Me Out ,EXO,2023-06-30,들어,ko
Hear Me Out ,EXO,2023-06-30,너의,ko
Hear Me Out ,EXO,2023-06-30,마음에,ko
Hear Me Out ,EXO,2023-06-30,들려,ko
Hear Me Out ,EXO,2023-06-30,날개를,ko
Hear Me Out ,EXO,2023-06-30,펴,ko
Hear Me Out ,EXO,2023-06-30,lets,en
Hear Me Out ,EXO,2023-06-30,fly,en
Hear Me Out ,EXO,2023-06-30,together,en
Hear Me Out ,EXO,2023-06-30,나는,ko
Hear Me Out ,EXO,2023-06-30,일을,ko
Hear Me Out ,EXO,2023-06-30,내지,ko
Hear Me Out ,EXO,2023-06-30,baby,en
Hear Me Out ,EXO,2023-06-30,i,en
Hear Me Out ,EXO,2023-06-30,cant,en
Hear Me Out ,EXO,2023-06-30,help,en
Hear Me Out ,EXO,2023-06-30,it,en
Hear Me Out ,EXO,2023-06-30,날,ko
Hear Me Out ,EXO,2023-06-30,밀어내려는,ko
Hear Me Out ,EXO,2023-06-30,시도는,ko
Hear Me Out ,EXO,2023-06-30,just,en
Hear Me Out ,EXO,2023-06-30,save,en
Hear Me Out ,EXO,2023-06-30,it,en
Hear Me Out ,EXO,2023-06-30,cuz,en
Hear Me Out ,EXO,2023-06-30,ive,en
Hear Me Out ,EXO,2023-06-30,been,en
Hear Me Out ,EXO,2023-06-30,thinking,en
Hear Me Out ,EXO,2023-06-30,bout,en
Hear Me Out ,EXO,2023-06-30,some,en
Hear Me Out ,EXO,2023-06-30,time,en
Hear Me Out ,EXO,2023-06-30,with,en
Hear Me Out ,EXO,2023-06-30,you,en
Hear Me Out ,EXO,2023-06-30,난,ko
Hear Me Out ,EXO,2023-06-30,아직도,ko
Hear Me Out ,EXO,2023-06-30,이,ko
