title,artist,date,word,language
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,come,en
Love Me Right (Korean Version) ,EXO,2015-06-02,on,en
Love Me Right (Korean Version) ,EXO,2015-06-02,take,en
Love Me Right (Korean Version) ,EXO,2015-06-02,your,en
Love Me Right (Korean Version) ,EXO,2015-06-02,time,en
Love Me Right (Korean Version) ,EXO,2015-06-02,왠지,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,두근대는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,밤이야,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,so,en
Love Me Right (Korean Version) ,EXO,2015-06-02,tonight,en
Love Me Right (Korean Version) ,EXO,2015-06-02,달,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,끝까지,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,달려가,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,볼까,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,시동을,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,걸어,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,엑셀에,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,발을,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,올려,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,모든,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,것이,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,특별해,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,너완,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,잘,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,어울려,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,무엇을,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,원하던,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,imma,en
Love Me Right (Korean Version) ,EXO,2015-06-02,make,en
Love Me Right (Korean Version) ,EXO,2015-06-02,it,en
Love Me Right (Korean Version) ,EXO,2015-06-02,work,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,shawty,en
Love Me Right (Korean Version) ,EXO,2015-06-02,imma,en
Love Me Right (Korean Version) ,EXO,2015-06-02,party,en
Love Me Right (Korean Version) ,EXO,2015-06-02,till,en
Love Me Right (Korean Version) ,EXO,2015-06-02,the,en
Love Me Right (Korean Version) ,EXO,2015-06-02,sun,en
Love Me Right (Korean Version) ,EXO,2015-06-02,down,en
Love Me Right (Korean Version) ,EXO,2015-06-02,지금,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,이,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,신비로운,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,느낌은,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,뭘까,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,와,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,줘,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,내게로,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,어서,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,before,en
Love Me Right (Korean Version) ,EXO,2015-06-02,the,en
Love Me Right (Korean Version) ,EXO,2015-06-02,sun,en
Love Me Right (Korean Version) ,EXO,2015-06-02,rise,en
Love Me Right (Korean Version) ,EXO,2015-06-02,니가,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,없는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,난,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,어딜,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,가도,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,nobody,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,ooh,en
Love Me Right (Korean Version) ,EXO,2015-06-02,도로,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,위에,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,여긴,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,runway,en
Love Me Right (Korean Version) ,EXO,2015-06-02,날,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,바라보는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,눈,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,속,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,milky,en
Love Me Right (Korean Version) ,EXO,2015-06-02,way,en
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,aha,en
Love Me Right (Korean Version) ,EXO,2015-06-02,baby,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,aha,en
Love Me Right (Korean Version) ,EXO,2015-06-02,oh,en
Love Me Right (Korean Version) ,EXO,2015-06-02,내게로,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,와,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,망설이지,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,마,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,넌,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,매혹적인,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,나의,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,universe,en
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,aha,en
Love Me Right (Korean Version) ,EXO,2015-06-02,내,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,우주는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,전부,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,너야,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,내,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,우주는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,전부,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,너야,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,shine,en
Love Me Right (Korean Version) ,EXO,2015-06-02,a,en
Love Me Right (Korean Version) ,EXO,2015-06-02,light,en
Love Me Right (Korean Version) ,EXO,2015-06-02,별빛,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,속을,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,달려,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,은하술,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,건너,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,nana,en
Love Me Right (Korean Version) ,EXO,2015-06-02,멈출,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,순,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,없어,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,ah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,yeah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,우릴,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,비추는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,달빛은,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,여전하지,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,네,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,궤도,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,안,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,헤매고,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,있어,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,난,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,아직,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,디세,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,i,en
Love Me Right (Korean Version) ,EXO,2015-06-02,can,en
Love Me Right (Korean Version) ,EXO,2015-06-02,do,en
Love Me Right (Korean Version) ,EXO,2015-06-02,this,en
Love Me Right (Korean Version) ,EXO,2015-06-02,all,en
Love Me Right (Korean Version) ,EXO,2015-06-02,night,en
Love Me Right (Korean Version) ,EXO,2015-06-02,long,en
Love Me Right (Korean Version) ,EXO,2015-06-02,baby,en
Love Me Right (Korean Version) ,EXO,2015-06-02,니가,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,없는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,난,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,어딜,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,가도,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,반쪽,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,짜리니까,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,ah,en
Love Me Right (Korean Version) ,EXO,2015-06-02,woo,en
Love Me Right (Korean Version) ,EXO,2015-06-02,달빛,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,찬란한,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,밤,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,펼쳐진,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,별들의,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,불꽃놀이,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,좀,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,더,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,높이,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,날아가,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,볼까,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,날아가,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,볼까,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,가슴,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,터질,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,듯한,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,이,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,순간,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,우리,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,둘만,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,떠올라,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,발밑에,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,지구를,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,두고,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,ooh,en
Love Me Right (Korean Version) ,EXO,2015-06-02,도로,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,위에,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,여긴,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,runway,en
Love Me Right (Korean Version) ,EXO,2015-06-02,날,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,바라보는,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,눈,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,속,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,milky,en
Love Me Right (Korean Version) ,EXO,2015-06-02,way,en
Love Me Right (Korean Version) ,EXO,2015-06-02,just,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,aha,en
Love Me Right (Korean Version) ,EXO,2015-06-02,baby,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,aha,en
Love Me Right (Korean Version) ,EXO,2015-06-02,love,en
Love Me Right (Korean Version) ,EXO,2015-06-02,me,en
Love Me Right (Korean Version) ,EXO,2015-06-02,right,en
Love Me Right (Korean Version) ,EXO,2015-06-02,so,en
Love Me Right (Korean Version) ,EXO,2015-06-02,come,en
Love Me Right (Korean Version) ,EXO,2015-06-02,on,en
Love Me Right (Korean Version) ,EXO,2015-06-02,baby,en
Love Me Right (Korean Version) ,EXO,2015-06-02,눈이,ko
Love Me Right (Korean Version) ,EXO,2015-06-02,부시게,ko
