title,artist,date,word,language
Love Shot ,EXO,2018-12-13,서롤,ko
Love Shot ,EXO,2018-12-13,겨눈,ko
Love Shot ,EXO,2018-12-13,채,en
Love Shot ,EXO,2018-12-13,날이,ko
Love Shot ,EXO,2018-12-13,선,ko
Love Shot ,EXO,2018-12-13,듯,ko
Love Shot ,EXO,2018-12-13,그,ko
Love Shot ,EXO,2018-12-13,목소리엔,ko
Love Shot ,EXO,2018-12-13,숨,ko
Love Shot ,EXO,2018-12-13,막히는,ko
Love Shot ,EXO,2018-12-13,것만,ko
Love Shot ,EXO,2018-12-13,가득해,ko
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,디all,ko
Love Shot ,EXO,2018-12-13,aye,en
Love Shot ,EXO,2018-12-13,ye,en
Love Shot ,EXO,2018-12-13,눈을,ko
Love Shot ,EXO,2018-12-13,가린,ko
Love Shot ,EXO,2018-12-13,채로,ko
Love Shot ,EXO,2018-12-13,그렇게,ko
Love Shot ,EXO,2018-12-13,굳게,ko
Love Shot ,EXO,2018-12-13,닫아,ko
Love Shot ,EXO,2018-12-13,버린,ko
Love Shot ,EXO,2018-12-13,서로의,ko
Love Shot ,EXO,2018-12-13,맘이,ko
Love Shot ,EXO,2018-12-13,애써,ko
Love Shot ,EXO,2018-12-13,외면하는걸,ko
Love Shot ,EXO,2018-12-13,ah,en
Love Shot ,EXO,2018-12-13,타들어,ko
Love Shot ,EXO,2018-12-13,가,ko
Love Shot ,EXO,2018-12-13,갈라질,ko
Love Shot ,EXO,2018-12-13,듯,ko
Love Shot ,EXO,2018-12-13,숨이,ko
Love Shot ,EXO,2018-12-13,막혀,ko
Love Shot ,EXO,2018-12-13,와,ko
Love Shot ,EXO,2018-12-13,갈증이,ko
Love Shot ,EXO,2018-12-13,나,ko
Love Shot ,EXO,2018-12-13,이,ko
Love Shot ,EXO,2018-12-13,한,ko
Love Shot ,EXO,2018-12-13,잔을,ko
Love Shot ,EXO,2018-12-13,가득히,ko
Love Shot ,EXO,2018-12-13,담아,ko
Love Shot ,EXO,2018-12-13,넘칠,ko
Love Shot ,EXO,2018-12-13,듯한,ko
Love Shot ,EXO,2018-12-13,위태론,ko
Love Shot ,EXO,2018-12-13,오늘,ko
Love Shot ,EXO,2018-12-13,밤을,ko
Love Shot ,EXO,2018-12-13,난,ko
Love Shot ,EXO,2018-12-13,its,en
Love Shot ,EXO,2018-12-13,the,en
Love Shot ,EXO,2018-12-13,love,en
Love Shot ,EXO,2018-12-13,shot,en
Love Shot ,EXO,2018-12-13,카all,ko
Love Shot ,EXO,2018-12-13,na,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,nananana,en
Love Shot ,EXO,2018-12-13,카all,ko
Love Shot ,EXO,2018-12-13,na,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,카all,ko
Love Shot ,EXO,2018-12-13,na,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,nananana,en
Love Shot ,EXO,2018-12-13,시all,ko
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,its,en
Love Shot ,EXO,2018-12-13,the,en
Love Shot ,EXO,2018-12-13,love,en
Love Shot ,EXO,2018-12-13,shot,en
Love Shot ,EXO,2018-12-13,찬all,ko
Love Shot ,EXO,2018-12-13,na,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,nananana,en
Love Shot ,EXO,2018-12-13,찬all,ko
Love Shot ,EXO,2018-12-13,na,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,찬all,ko
Love Shot ,EXO,2018-12-13,na,en
Love Shot ,EXO,2018-12-13,nanana,en
Love Shot ,EXO,2018-12-13,nananana,en
Love Shot ,EXO,2018-12-13,디all,ko
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,oh,en
Love Shot ,EXO,2018-12-13,its,en
Love Shot ,EXO,2018-12-13,the,en
Love Shot ,EXO,2018-12-13,love,en
Love Shot ,EXO,2018-12-13,shot,en
Love Shot ,EXO,2018-12-13,비틀려,ko
Love Shot ,EXO,2018-12-13,버린,ko
Love Shot ,EXO,2018-12-13,love,en
Love Shot ,EXO,2018-12-13,and,en
Love Shot ,EXO,2018-12-13,hate,en
Love Shot ,EXO,2018-12-13,아름다웠던,ko
Love Shot ,EXO,2018-12-13,기억들,ko
Love Shot ,EXO,2018-12-13,하얗게,ko
Love Shot ,EXO,2018-12-13,물들여져,ko
Love Shot ,EXO,2018-12-13,조금씩,ko
Love Shot ,EXO,2018-12-13,바래어,ko
Love Shot ,EXO,2018-12-13,가,ko
Love Shot ,EXO,2018-12-13,매일,ko
Love Shot ,EXO,2018-12-13,더,ko
Love Shot ,EXO,2018-12-13,깊어져,ko
Love Shot ,EXO,2018-12-13,calm,en
Love Shot ,EXO,2018-12-13,down,en
Love Shot ,EXO,2018-12-13,상처가,ko
Love Shot ,EXO,2018-12-13,되는,ko
Love Shot ,EXO,2018-12-13,말과,ko
Love Shot ,EXO,2018-12-13,검게,ko
Love Shot ,EXO,2018-12-13,타,ko
Love Shot ,EXO,2018-12-13,버린,ko
Love Shot ,EXO,2018-12-13,마음,ko
Love Shot ,EXO,2018-12-13,where,en
Love Shot ,EXO,2018-12-13,is,en
Love Shot ,EXO,2018-12-13,love,en
Love Shot ,EXO,2018-12-13,yeah,en
Love Shot ,EXO,2018-12-13,yeah,en
Love Shot ,EXO,2018-12-13,yeah,en
Love Shot ,EXO,2018-12-13,yeah,en
Love Shot ,EXO,2018-12-13,눈과,ko
Love Shot ,EXO,2018-12-13,귀를,ko
Love Shot ,EXO,2018-12-13,막고,ko
Love Shot ,EXO,2018-12-13,억지로,ko
Love Shot ,EXO,2018-12-13,헤매,ko
Love Shot ,EXO,2018-12-13,봐도,ko
Love Shot ,EXO,2018-12-13,결국,ko
Love Shot ,EXO,2018-12-13,정답은,ko
Love Shot ,EXO,2018-12-13,love,en
Love Shot ,EXO,2018-12-13,too,en
Love Shot ,EXO,2018-12-13,much,en
Love Shot ,EXO,2018-12-13,ego에,ko
Love Shot ,EXO,2018-12-13,주린,ko
Love Shot ,EXO,2018-12-13,배를,ko
Love Shot ,EXO,2018-12-13,불리고,ko
Love Shot ,EXO,2018-12-13,비어,ko
Love Shot ,EXO,2018-12-13,버린,ko
Love Shot ,EXO,2018-12-13,한,ko
Love Shot ,EXO,2018-12-13,잔의,ko
Love Shot ,EXO,2018-12-13,compassion,en
Love Shot ,EXO,2018-12-13,이제,ko
Love Shot ,EXO,2018-12-13,다시,ko
