title,artist,date,word,language
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,않는,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,널,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,찾으려고,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,애쓰다,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,들리지,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,않는,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,널,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,들으려,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,애쓰다,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,보이지,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,않던,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,게,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,보이고,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,들리지,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,않던,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,게,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,들려,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,너,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,나를,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,떠난,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,뒤로,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,내겐,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,없던,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,힘이,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,생겼어,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,늘,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,나밖에,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,몰랐었던,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,이기적인,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,내가,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,yeah,en
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,니,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,맘도,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,몰라줬던,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,무심한,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,내가,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,이렇게도,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,달라졌다는,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,게,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,나조차,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,믿기지,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,않아,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,니,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,사랑은,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,이렇게,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,계속,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,날,ko
Miracles in December (12월의 기적) (Korean Ver.) ,EXO,2013-12-05,움직여,ko
