title,artist,date,word,language
Sing For You (Korean Ver.) ,EXO,2015-12-09,낡은,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,기타를,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,들어,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,하지,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,못한,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,고백을,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,혹은,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,고집스레,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,삼킨,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,얘기를,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,노래,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,하나,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,만든,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,척,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,지금,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,말하려,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,해요,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,그냥,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,들어요,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,ill,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,sing,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,for,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,너무,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,사랑하지만,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,사랑한다,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,말,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,안,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,해,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,어색해,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,자존심,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,허락,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,안,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,해,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,오늘은,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,용기,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,내서,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,나,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,말할,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,테지만,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,무심히,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,들어요,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,ill,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,sing,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,for,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,the,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,way,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,cry,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,the,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,way,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,smile,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,내겐,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,얼마나,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,큰,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,의미인,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,걸까,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,하고픈,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,말,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,놓쳐,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,버린,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,말,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,고백할,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,테지만,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,그냥,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,들어요,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,ill,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,sing,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,for,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,sing,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,for,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,그냥,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,한번,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,듣고,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,웃어요,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,조금,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,우습죠,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,내겐,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,그대밖에,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,없는데,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,가끔은,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,남보다,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,못한,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,나,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,사실은,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,그대,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,품에,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,머리칼을,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,부비고,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,안기고,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,싶은,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,건데,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,말이죠,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,the,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,way,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,cry,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,the,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,way,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,you,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,smile,en
Sing For You (Korean Ver.) ,EXO,2015-12-09,내겐,ko
Sing For You (Korean Ver.) ,EXO,2015-12-09,얼마나,ko
