title,artist,date,word,language
Tempo ,EXO,2018-11-02,cant,en
Tempo ,EXO,2018-11-02,believe,en
Tempo ,EXO,2018-11-02,기다렸던,ko
Tempo ,EXO,2018-11-02,이런,ko
Tempo ,EXO,2018-11-02,느낌,ko
Tempo ,EXO,2018-11-02,oh,en
Tempo ,EXO,2018-11-02,나만,ko
Tempo ,EXO,2018-11-02,듣고,ko
Tempo ,EXO,2018-11-02,싶은,ko
Tempo ,EXO,2018-11-02,그녀는,ko
Tempo ,EXO,2018-11-02,나의,ko
Tempo ,EXO,2018-11-02,멜로디,ko
Tempo ,EXO,2018-11-02,하루,ko
Tempo ,EXO,2018-11-02,종일,ko
Tempo ,EXO,2018-11-02,go,en
Tempo ,EXO,2018-11-02,on,en
Tempo ,EXO,2018-11-02,and,en
Tempo ,EXO,2018-11-02,on,en
Tempo ,EXO,2018-11-02,and,en
Tempo ,EXO,2018-11-02,on,en
Tempo ,EXO,2018-11-02,떠나지,ko
Tempo ,EXO,2018-11-02,않게,ko
Tempo ,EXO,2018-11-02,그녈,ko
Tempo ,EXO,2018-11-02,내,ko
Tempo ,EXO,2018-11-02,곁에,ko
Tempo ,EXO,2018-11-02,카all,ko
Tempo ,EXO,2018-11-02,yeah,en
Tempo ,EXO,2018-11-02,uh,en
Tempo ,EXO,2018-11-02,dont,en
Tempo ,EXO,2018-11-02,mess,en
Tempo ,EXO,2018-11-02,up,en
Tempo ,EXO,2018-11-02,my,en
Tempo ,EXO,2018-11-02,tempo,en
Tempo ,EXO,2018-11-02,카all,ko
Tempo ,EXO,2018-11-02,들어,ko
Tempo ,EXO,2018-11-02,봐,ko
Tempo ,EXO,2018-11-02,이건,ko
Tempo ,EXO,2018-11-02,충분히,ko
Tempo ,EXO,2018-11-02,카all,ko
Tempo ,EXO,2018-11-02,i,en
Tempo ,EXO,2018-11-02,said,en
Tempo ,EXO,2018-11-02,dont,en
Tempo ,EXO,2018-11-02,mess,en
Tempo ,EXO,2018-11-02,up,en
Tempo ,EXO,2018-11-02,my,en
Tempo ,EXO,2018-11-02,tempo,en
Tempo ,EXO,2018-11-02,카all,ko
Tempo ,EXO,2018-11-02,그녀의,ko
Tempo ,EXO,2018-11-02,맘을,ko
Tempo ,EXO,2018-11-02,훔칠,ko
Tempo ,EXO,2018-11-02,beat,en
Tempo ,EXO,2018-11-02,uh,en
Tempo ,EXO,2018-11-02,백all,ko
Tempo ,EXO,2018-11-02,어디에도,ko
Tempo ,EXO,2018-11-02,없을,ko
Tempo ,EXO,2018-11-02,리듬에,ko
Tempo ,EXO,2018-11-02,맞춰,ko
Tempo ,EXO,2018-11-02,1,en
Tempo ,EXO,2018-11-02,2,en
Tempo ,EXO,2018-11-02,3,en
Tempo ,EXO,2018-11-02,uh,en
Tempo ,EXO,2018-11-02,백all,ko
Tempo ,EXO,2018-11-02,dont,en
