title,artist,date,word,language
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,star,en
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너에게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,들려질까,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,시간이,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,끊어진,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,이,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,길에,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,서,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,있어,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아직,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,믿어지지,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,않아,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,나,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,안일했던,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,거야,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,똑같이,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,바라봤는데,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,똑같이,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,헤맸는데,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,왜,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,내,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,맘이,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,다,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,무너져,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,버릴까,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,저,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,바람마저,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,널,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아직,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,기다리며,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,서,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,있어,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,흩날리는,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,별빛도,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,서성이다,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,안돼,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아직,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,모든,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너로,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,가득해,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아직,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,어디도,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,못,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,가겠어,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,혹시,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,빠르게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,지나쳐도,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,내가,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,널,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,찾을게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,그때,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,다시,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너에게로,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,신all,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,펼쳐지는,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,singing,en
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,star,en
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,신all,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너에게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,들려질까,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,소all,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,부서지는,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,shining,en
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,star,en
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,소all,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너에게도,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,보일까,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,어쩌면,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,이,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,노래가,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,널,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,다시,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,만나게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,해줄,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,거라,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,짐작해,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아니,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,침착해,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,난,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아무것도,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,몰라,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,그리워하다,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,여전히,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,이곳에,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,멈춰있어,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,나,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,계속,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,맴돌기만,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,해,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,서성이다,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,안돼,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아직,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,모든,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,게,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,너로,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,가득해,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,아직,ko
Crossroads (교차로) ,GFRIEND (여자친구),2020-02-03,어디도,ko
