title,artist,date,word,language
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,말로,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,표현할,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,수,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,없어,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,스치듯,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,기분,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,좋은,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,바람들과,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,너와,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,나,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,함께,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,들었던,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,노래,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,가사처럼,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,유난히,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,오늘은,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,기분이,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,좋아,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,눈이,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,부시게,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,맑은,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,하늘,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,아래,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,땀방울,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,한,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,방울,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,떨어지는,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,그런,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,날에,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,손,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,잡고,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,걸어가,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,흐드러지던,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,그,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,꽃,en
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,길,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,위에서,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,난,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,너와,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,함께,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,yuall,en
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,어디서든,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,들려와,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,yuall,en
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,귀를,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,기울이면,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,yuall,en
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,나를,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,향한,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,믿음에,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,yuall,en
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,귀를,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,기울이면,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,반짝반짝,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,빛나던,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,너의,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,눈동자처럼,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,소중한,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,이야기,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,들려줄게,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,귀를,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,기울여봐,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,우리들의,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,잊지,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,못할,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,목소리,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,이야기,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,꿈처럼,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,설렜던,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,너를,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,향해,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,내,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,맘,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,가득히,ko
LOVE WHISPER (귀를 기울이면) ,GFRIEND (여자친구),2017-08-01,여전히,ko
