title,artist,date,word,language
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,있었어,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,널,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,본,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,순간,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,뭔가,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,특별하다는,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,걸,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,눈빛,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,만으로도,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,느껴지니까,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마음이,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,움직이는,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,걸,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나비처럼,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,날아,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나나나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나빌레라,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,바람아,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,바람아,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,불어라,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,훨훨,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,날아가,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너에게로,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,다가갈,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,수,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,있도록,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,하얀,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,진심을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,담아,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,새롭게,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,시작해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,볼래,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그리고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,사랑을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,동경해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,앞으로도,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,잘,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,부탁해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,모아둔,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마음을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,주겠어,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그리고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마냥,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,기다리진,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,않을래,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,다시,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,선,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,시작점이야,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,조금,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,더,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,속도를,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,올려서,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,물러선,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나의,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마음을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,달래고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,이제는,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,더,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,다가갈게,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,꽃처럼,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,피어나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나나나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나빌레라,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,아직은,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,수줍은,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,아이야,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나도,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,떨려와,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,우리,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,설렘,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,가득한,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,목소리로,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,하얀,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,진심을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,담아,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,새롭게,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,시작해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,볼래,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그리고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,사랑을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,동경해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,앞으로도,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,잘,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,부탁해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,모아둔,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마음을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,주겠어,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그리고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마냥,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,기다리진,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,않을래,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,바라고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,바랐던,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,이,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,순간에,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,항상,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,내,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,곁에,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,있어준,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너와,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,함께,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,언제나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그래왔듯,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,이룰,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,거니까,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,꿈에서,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,깨어나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나나나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나빌레라,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,언젠가,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너와,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,둘이서,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,활짝,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,펼쳐진,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,미래를,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,만들어가고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,싶은걸,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,하나면,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,충분하니까,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,새롭게,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,시작해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,볼래,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,너,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그리고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,사랑을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,동경해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,앞으로도,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,잘,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,부탁해,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,모아둔,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마음을,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,주겠어,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,그리고,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,나,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,마냥,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,기다리진,ko
Navillera (너 그리고 나) ,GFRIEND (여자친구),2016-07-11,않을래,ko
