title,artist,date,word,language
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,오늘,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,밤,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,우리,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,어디론가,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,고백할까,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,이,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,순간,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,기분도,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,여름여름하니까,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,뜨거워지니까,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,우리도,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,떠나볼까,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,어딘가,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,차차차차가워,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,예린은,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,외로워,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,연인만,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,가득한,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,여름은,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,더,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,서러워,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,파파파파도가,ko
Sunny Summer (여름여름해) ,GFRIEND (여자친구),2018-07-19,부서진,ko
