title,artist,date,word,language
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,설레임을,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,오늘부터,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,우리는,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,꿈꾸며,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,기도하는,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,오늘부터,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,우리는,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,저,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,바람에,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,노을,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,빛,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,내,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,맘을,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,실어,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,보낼게,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,그리운,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,마음이,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,모여서,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,내리는,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,me,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,gustas,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,tu,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,gustas,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,tu,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,수투두루,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,좋아해요,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,gustas,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,tu,en
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,수투루,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,수투루,ko
Me Gustas Tu (오늘부터 우리는) ,GFRIEND,2015-07-23,한,ko
