title,artist,date,word,language
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,forever,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,1,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,its,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,love,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,its,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,love,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,were,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,not,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,stopping,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,니가,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,머문,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,이,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,세상이,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,더,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,아름다운,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,건,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,겁,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,없이,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,외치던,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,말,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,사랑해,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,너를,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,영원하기에,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,you,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,and,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,i,en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,터지는,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,눈물이,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,"",en
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,유,ko
FOREVER 1 ,Girls' Generation (소녀시대),2022-08-05,"",en
