title,artist,date,word,language
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,나,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,첨,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,만났을,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,때,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,ooh,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,마치,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,사자처럼,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,맴돌다,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,기회를,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,노려,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,내,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,맘,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,뺏은,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,너,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,ah,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,넌,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,달라진,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,게,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,없어,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,여전해,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,난,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,애가,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,타고,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,또,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,타,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,사냥감,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,찾아,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,한눈파는,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,너,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,수백,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,번,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,밀어내야,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,했는데,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,수천,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,번,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,널,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,떠나야,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,했는데,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,tell,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,me,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,why,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,왜,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,맘이,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,맘이,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,자꾸,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,흔들리니,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,난,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,여기,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,여기,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,니,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,옆에,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,있잖니,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,정신,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,차려,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,lion,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,heart,en
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,난,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,애가,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,타,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,내,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,맘이,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,맘이,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,더는,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,식지,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,않게,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,난,ko
Lion Heart ,Girls' Generation (소녀시대),2015-08-18,여기저기,ko
