title,artist,date,word,language
ELEVEN ,IVE,2021-12-01,따분한,ko
ELEVEN ,IVE,2021-12-01,나의,ko
ELEVEN ,IVE,2021-12-01,눈빛이,ko
ELEVEN ,IVE,2021-12-01,무표정했던,ko
ELEVEN ,IVE,2021-12-01,얼굴이,ko
ELEVEN ,IVE,2021-12-01,널,ko
ELEVEN ,IVE,2021-12-01,보며,ko
ELEVEN ,IVE,2021-12-01,빛나고,ko
ELEVEN ,IVE,2021-12-01,있어,ko
ELEVEN ,IVE,2021-12-01,널,ko
ELEVEN ,IVE,2021-12-01,담은,ko
ELEVEN ,IVE,2021-12-01,눈동자는,ko
ELEVEN ,IVE,2021-12-01,odd,en
ELEVEN ,IVE,2021-12-01,내,ko
ELEVEN ,IVE,2021-12-01,안에,ko
ELEVEN ,IVE,2021-12-01,빼곡하게,ko
ELEVEN ,IVE,2021-12-01,피어나는,ko
ELEVEN ,IVE,2021-12-01,blue,en
ELEVEN ,IVE,2021-12-01,내가,ko
ELEVEN ,IVE,2021-12-01,지금,ko
ELEVEN ,IVE,2021-12-01,느끼는,ko
ELEVEN ,IVE,2021-12-01,이,ko
ELEVEN ,IVE,2021-12-01,감정들은,ko
ELEVEN ,IVE,2021-12-01,true,en
ELEVEN ,IVE,2021-12-01,내,ko
ELEVEN ,IVE,2021-12-01,입술을,ko
ELEVEN ,IVE,2021-12-01,간지럽힌,ko
ELEVEN ,IVE,2021-12-01,낯선,ko
ELEVEN ,IVE,2021-12-01,그,ko
ELEVEN ,IVE,2021-12-01,이름,ko
ELEVEN ,IVE,2021-12-01,난,ko
ELEVEN ,IVE,2021-12-01,몰랐어,ko
ELEVEN ,IVE,2021-12-01,내,ko
ELEVEN ,IVE,2021-12-01,맘이,ko
ELEVEN ,IVE,2021-12-01,이리,ko
ELEVEN ,IVE,2021-12-01,다채로운지,ko
ELEVEN ,IVE,2021-12-01,긴,ko
ELEVEN ,IVE,2021-12-01,꿈을,ko
ELEVEN ,IVE,2021-12-01,꾸게,ko
ELEVEN ,IVE,2021-12-01,해,ko
ELEVEN ,IVE,2021-12-01,이,ko
ELEVEN ,IVE,2021-12-01,방은,ko
ELEVEN ,IVE,2021-12-01,작은,ko
ELEVEN ,IVE,2021-12-01,heaven,en
ELEVEN ,IVE,2021-12-01,춤을,ko
ELEVEN ,IVE,2021-12-01,추곤,ko
ELEVEN ,IVE,2021-12-01,해,ko
ELEVEN ,IVE,2021-12-01,실컷,ko
ELEVEN ,IVE,2021-12-01,어지러울,ko
ELEVEN ,IVE,2021-12-01,만큼,ko
ELEVEN ,IVE,2021-12-01,oh,en
ELEVEN ,IVE,2021-12-01,my,en
ELEVEN ,IVE,2021-12-01,oh,en
ELEVEN ,IVE,2021-12-01,my,en
ELEVEN ,IVE,2021-12-01,god,en
ELEVEN ,IVE,2021-12-01,한,ko
ELEVEN ,IVE,2021-12-01,칸,ko
ELEVEN ,IVE,2021-12-01,더,ko
ELEVEN ,IVE,2021-12-01,채우고,ko
ELEVEN ,IVE,2021-12-01,있어,ko
ELEVEN ,IVE,2021-12-01,잘,ko
ELEVEN ,IVE,2021-12-01,봐,ko
