title,artist,date,word,language
LOVE DIVE ,IVE,2022-04-05,니가,ko
LOVE DIVE ,IVE,2022-04-05,참,ko
LOVE DIVE ,IVE,2022-04-05,궁금해,ko
LOVE DIVE ,IVE,2022-04-05,그건,ko
LOVE DIVE ,IVE,2022-04-05,너도,ko
LOVE DIVE ,IVE,2022-04-05,마찬가지,ko
LOVE DIVE ,IVE,2022-04-05,이거면,ko
LOVE DIVE ,IVE,2022-04-05,충분해,ko
LOVE DIVE ,IVE,2022-04-05,쫓고,ko
LOVE DIVE ,IVE,2022-04-05,쫓는,ko
LOVE DIVE ,IVE,2022-04-05,이런,ko
LOVE DIVE ,IVE,2022-04-05,놀이,ko
LOVE DIVE ,IVE,2022-04-05,참을,ko
LOVE DIVE ,IVE,2022-04-05,수,ko
LOVE DIVE ,IVE,2022-04-05,없는,ko
LOVE DIVE ,IVE,2022-04-05,이끌림과,ko
LOVE DIVE ,IVE,2022-04-05,호기심,ko
LOVE DIVE ,IVE,2022-04-05,묘한,ko
LOVE DIVE ,IVE,2022-04-05,너와,ko
LOVE DIVE ,IVE,2022-04-05,나,ko
LOVE DIVE ,IVE,2022-04-05,두고,ko
LOVE DIVE ,IVE,2022-04-05,보면,ko
LOVE DIVE ,IVE,2022-04-05,알겠지,ko
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,눈동자,ko
LOVE DIVE ,IVE,2022-04-05,아래로,ko
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,감추고,ko
LOVE DIVE ,IVE,2022-04-05,있는,ko
LOVE DIVE ,IVE,2022-04-05,거,ko
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,yeah,en
LOVE DIVE ,IVE,2022-04-05,its,en
LOVE DIVE ,IVE,2022-04-05,so,en
LOVE DIVE ,IVE,2022-04-05,bad,en
LOVE DIVE ,IVE,2022-04-05,its,en
LOVE DIVE ,IVE,2022-04-05,good,en
LOVE DIVE ,IVE,2022-04-05,난,ko
LOVE DIVE ,IVE,2022-04-05,그,ko
LOVE DIVE ,IVE,2022-04-05,맘을,ko
LOVE DIVE ,IVE,2022-04-05,좀,ko
LOVE DIVE ,IVE,2022-04-05,봐야겠어,ko
LOVE DIVE ,IVE,2022-04-05,narcissistic,en
LOVE DIVE ,IVE,2022-04-05,my,en
LOVE DIVE ,IVE,2022-04-05,god,en
LOVE DIVE ,IVE,2022-04-05,i,en
LOVE DIVE ,IVE,2022-04-05,love,en
LOVE DIVE ,IVE,2022-04-05,it,en
LOVE DIVE ,IVE,2022-04-05,서로를,ko
LOVE DIVE ,IVE,2022-04-05,비춘,ko
LOVE DIVE ,IVE,2022-04-05,밤,ko
LOVE DIVE ,IVE,2022-04-05,아름다운,ko
LOVE DIVE ,IVE,2022-04-05,까만,ko
LOVE DIVE ,IVE,2022-04-05,눈빛,ko
LOVE DIVE ,IVE,2022-04-05,더,ko
LOVE DIVE ,IVE,2022-04-05,빠져,ko
LOVE DIVE ,IVE,2022-04-05,깊이,ko
LOVE DIVE ,IVE,2022-04-05,넌,ko
LOVE DIVE ,IVE,2022-04-05,내게로,ko
LOVE DIVE ,IVE,2022-04-05,난,ko
LOVE DIVE ,IVE,2022-04-05,네게로,ko
LOVE DIVE ,IVE,2022-04-05,숨,ko
LOVE DIVE ,IVE,2022-04-05,참고,ko
LOVE DIVE ,IVE,2022-04-05,love,en
LOVE DIVE ,IVE,2022-04-05,dive,en
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,lalalalalalala,en
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,어서,ko
LOVE DIVE ,IVE,2022-04-05,와서,ko
LOVE DIVE ,IVE,2022-04-05,love,en
LOVE DIVE ,IVE,2022-04-05,dive,en
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,oh,en
LOVE DIVE ,IVE,2022-04-05,perfect,en
LOVE DIVE ,IVE,2022-04-05,sacrifice,en
LOVE DIVE ,IVE,2022-04-05,yeah,en
LOVE DIVE ,IVE,2022-04-05,숨,ko
LOVE DIVE ,IVE,2022-04-05,참고,ko
LOVE DIVE ,IVE,2022-04-05,love,en
LOVE DIVE ,IVE,2022-04-05,dive,en
LOVE DIVE ,IVE,2022-04-05,마음은,ko
LOVE DIVE ,IVE,2022-04-05,이렇게,ko
LOVE DIVE ,IVE,2022-04-05,알다가도,ko
LOVE DIVE ,IVE,2022-04-05,모르지,ko
LOVE DIVE ,IVE,2022-04-05,사랑이라는,ko
LOVE DIVE ,IVE,2022-04-05,건,ko
LOVE DIVE ,IVE,2022-04-05,한순간에,ko
LOVE DIVE ,IVE,2022-04-05,필,ko
LOVE DIVE ,IVE,2022-04-05,테니,ko
LOVE DIVE ,IVE,2022-04-05,직접,ko
LOVE DIVE ,IVE,2022-04-05,들어와,ko
LOVE DIVE ,IVE,2022-04-05,두,ko
LOVE DIVE ,IVE,2022-04-05,눈으로,ko
LOVE DIVE ,IVE,2022-04-05,확인해,ko
LOVE DIVE ,IVE,2022-04-05,내,ko
LOVE DIVE ,IVE,2022-04-05,맘,ko
LOVE DIVE ,IVE,2022-04-05,가장,ko
LOVE DIVE ,IVE,2022-04-05,깊은,ko
LOVE DIVE ,IVE,2022-04-05,데로,ko
LOVE DIVE ,IVE,2022-04-05,오면,ko
LOVE DIVE ,IVE,2022-04-05,돼,ko
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,망설일,ko
LOVE DIVE ,IVE,2022-04-05,시간은,ko
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,3초면,ko
LOVE DIVE ,IVE,2022-04-05,되는,ko
LOVE DIVE ,IVE,2022-04-05,걸,ko
LOVE DIVE ,IVE,2022-04-05,woo,en
LOVE DIVE ,IVE,2022-04-05,yeah,en
LOVE DIVE ,IVE,2022-04-05,its,en
LOVE DIVE ,IVE,2022-04-05,so,en
LOVE DIVE ,IVE,2022-04-05,bad,en
LOVE DIVE ,IVE,2022-04-05,its,en
LOVE DIVE ,IVE,2022-04-05,good,en
LOVE DIVE ,IVE,2022-04-05,원하면,ko
LOVE DIVE ,IVE,2022-04-05,감히,ko
LOVE DIVE ,IVE,2022-04-05,뛰어들어,ko
LOVE DIVE ,IVE,2022-04-05,narcissistic,en
LOVE DIVE ,IVE,2022-04-05,my,en
LOVE DIVE ,IVE,2022-04-05,god,en
LOVE DIVE ,IVE,2022-04-05,i,en
LOVE DIVE ,IVE,2022-04-05,love,en
LOVE DIVE ,IVE,2022-04-05,it,en
LOVE DIVE ,IVE,2022-04-05,서로를,ko
LOVE DIVE ,IVE,2022-04-05,비춘,ko
LOVE DIVE ,IVE,2022-04-05,밤,ko
LOVE DIVE ,IVE,2022-04-05,아름다운,ko
LOVE DIVE ,IVE,2022-04-05,까만,ko
LOVE DIVE ,IVE,2022-04-05,눈빛,ko
LOVE DIVE ,IVE,2022-04-05,더,ko
LOVE DIVE ,IVE,2022-04-05,빠져,ko
LOVE DIVE ,IVE,2022-04-05,깊이,ko
LOVE DIVE ,IVE,2022-04-05,넌,ko
LOVE DIVE ,IVE,2022-04-05,내게로,ko
LOVE DIVE ,IVE,2022-04-05,난,ko
LOVE DIVE ,IVE,2022-04-05,네게로,ko
LOVE DIVE ,IVE,2022-04-05,숨,ko
LOVE DIVE ,IVE,2022-04-05,참고,ko
LOVE DIVE ,IVE,2022-04-05,love,en
