title,artist,date,word,language
Shhh (쉿) ,KISS OF LIFE,2023-07-05,yeah,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,really,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,want,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,yeah,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,really,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,want,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,yeah,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,really,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,want,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,yeah,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,really,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,want,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,what,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,love,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,cant,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,get,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,enough,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,뻔히,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,보이는,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,네,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,표정에,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,쓰여진,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,question,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,mark,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,넌,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,원하게,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,될,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,거야,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,that,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,girl,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,like,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,me,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,꿈에서,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,깨,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,were,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,just,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,here,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,to,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,vibe,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,yeah,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,really,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,want,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,yeah,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,really,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,love,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,이게,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,나인,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,걸,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,전부,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,벗어,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,던진,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,모습은,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,holy,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,imma,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,dance,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,in,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,the,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,rain,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,so,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,slowly,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,hey,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,can,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,u,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,feel,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,me,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,now,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,잊지,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,마,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,youre,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,so,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,special,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,one,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,thing,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,i,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,know,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,about,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,you,en
Shhh (쉿) ,KISS OF LIFE,2023-07-05,너만,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,알고,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,있음,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,된,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,거야,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,누가,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,뭐라든지,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,넌,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,너야,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,맞지,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,않는,ko
Shhh (쉿) ,KISS OF LIFE,2023-07-05,옷은,ko
