title,artist,date,word,language
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,ba,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,bam,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,제일,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,높은,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,곳에,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,난,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,닿길,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,원해,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,느꼈어,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,내,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,answer,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,내,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,혈관,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,속에,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,날뛰는,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,new,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,wave,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,내,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,거대한,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,passion,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,관심,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,없어,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,과거에,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,모두가,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,알고,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,있는,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,그,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,트러블에,ko
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,huh,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,im,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,fearless,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,a,en
 FEARLESS ,LE SSERAFIM (르세라핌) ,2022-05-02,new,en
