title,artist,date,word,language
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,눈을,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,뗄,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,수가,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,없어,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,너와,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,나의,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,eclipse,en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,내,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,눈에만,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,보이던,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,너,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,손댈,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,수,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,없이,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,위험,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,했던,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,"",en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,립,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,"",en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,최,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,"",en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,woo,en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,boy,en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,내,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,맘도,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,너에게,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,자꾸,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,더,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,끌려,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,사랑이,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,뭐가,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,뭔지,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,a,en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,to,en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,z,en
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,아직도,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,몰라,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,그냥,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,너에게,ko
Girl Front ,LOONA ODD EYE CIRCLE,2017-09-21,빠져있고,ko
